Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Disease CRF_Mpox
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_chestpain,radio,Chest pain,"1, Yes | 0, No | 99, Unknown",,,,,,Respiratory,"Defined as the unpleasant, uncomfortable or painful sensation characterised by physical discomfort localised to the chest.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"29857009, Chest pain","C387341, Chest pain",,clinical_features,1,1
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_sneez,radio,Sneezing,"1, Yes | 0, No | 99, Unknown",,,,,,Respiratory,"This refers to a sudden violent, spasmodic, audible expiration of breath through the nose and mouth.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,76067001,,,,,
presentation,PREGNANCY PRESENTATION,preg_pregnant,radio,Pregnant,"1, Yes | 0, No | 99, Unknown",,,,,[demog_sex]='2' ,,This refers to women who reports to be pregnant at presentation and/or have had a positive pregnancy test in recent days prior to presentation. ,"Indicate 'Yes', if the patient is pregnant at presentation. If the patient is of fertile age with no negative pregnancy test select 'Unknown'.  ",SNOMED,"77386006, Pregnant (finding)","C54926, Pregnant",,risk_factor_demo,1,1
presentation,PREGNANCY PRESENTATION,preg_postpartum,radio,Post-partum (within 6 weeks of delivery),"1, Yes | 0, No | 99, Unknown",,,,,[demog_sex]='2' and [preg_pregnant]='0',,This refers to the temporal period relating to mother from completion of labour until six weeks post-delivery.,"Indicate 'Yes', if the patient is in post-partum period (within 6 weeks of delivery).",SNOMED,"86569001, Postpartum state (finding)","C86839, Postpartum Period",,risk_factor_demo,1,1
presentation,PREGNANCY PRESENTATION,preg_geswek,number,Gestational weeks at presentation,,number,0,,,[preg_pregnant] = '1',,This refers to the gestational age of the foetus (written in weeks). It can be calculated from the woman's last menstrual period (LMP) or calculated using the best obstetrical estimated due date (EDD) based on the following formula: Gestational Age = (28 - (EDD - Reference Date)) / 7. The reference date is the date in which you are trying to determine the gestational age.,Indicate the estimated gestational age of the foetus (in weeks).,SNOMED,57036006 |Fetal gestational age (observable entity)|,"CL1385889, Gestational weeks",,,1,1
presentation,PREGNANCY PRESENTATION,preg_recent1,radio,Was the patient pregnant within <= 21 days of symptom onset?,"1, Yes | 0, No | 99, Unknown",,,,,[preg_postpartum] = '1',,"If non-pregnant currently, this refers to whether the patient was pregnant within 21 days of onset of symptoms.","Indicate 'Yes, if the patient was pregnant within 21 days of onset of symptoms.",,,,,,,
presentation,PREGNANCY PRESENTATION,preg_recent2,radio,Was the patient pregnant within 22-42 days from admission?,"1, Yes | 0, No | 99, Unknown",,,,,[preg_postpartum] = '1',,"If non-pregnant currently, this refers to whether the patient was pregnant wiithin 22-42 days from date of admission.","Indicate 'Yes, if the patient was pregnant wiithin 22-42 days from date of admission.",,,,,,,
presentation,INFANT: LESS THAN 12 MONTHS OLD,infa_brtwei,,Birth weight (select units),,,,,,([demog_age] <= 1 and [demog_age_units]='1') or ([demog_age] <= 12 and [demog_age_units]='2') or ([demog_age] <= 365 and [demog_age_units]='3') or [demog_calcage]<=1,,,,SNOMED,"47340003, Birth weight (finding)","C5612, Birth weight",,,1,1
presentation,INFANT: LESS THAN 12 MONTHS OLD,infa_brtwei_g,number,Birth weight (g),,number,0,,,([demog_age] <= 1 and [demog_age_units]='1') or ([demog_age] <= 12 and [demog_age_units]='2') or ([demog_age] <= 365 and [demog_age_units]='3') or [demog_calcage]<=2,,This refers to the first weight of a newborn obtained after birth in kilograms (kg).,Indicate the birth weight in kilograms (kg).,SNOMED,"364589006, Birth weight (observable entity)","C5612, Birth weight",,,1,1
presentation,INFANT: LESS THAN 12 MONTHS OLD,infa_brtwei_lb,number,Birth weight (lb),,number,0,,,([demog_age] <= 1 and [demog_age_units]='1') or ([demog_age] <= 12 and [demog_age_units]='2') or ([demog_age] <= 365 and [demog_age_units]='3') or [demog_calcage]<=3,,This refers to the first weight of a newborn obtained after birth in pounds (lb).,Indicate the birth weight in pounds (lb).,SNOMED,"364589006, Birth weight (observable entity)","C5612, Birth weight",,,1,1
presentation,INFANT: LESS THAN 12 MONTHS OLD,infa_outcome,radio,Gestational outcome,"1, Term birth (>=37wk GA) | 2, Preterm birth (< 37wk GA) | 99, Unknown",,,,,([demog_age] <= 1 and [demog_age_units]='1') or ([demog_age] <= 12 and [demog_age_units]='2') or ([demog_age] <= 365 and [demog_age_units]='3') or [demog_calcage]<=4,,This refers to the gestational age (GA) of the infant at delivery. Pre-term refers to an infant born before 37 weeks and  days gestational age.,Indicate 'Term birth' if gestational age (GA) at delivery >= 37 weeks and 'Preterm birth' if GA at delivery < 37 weeks. ,SNOMED,"1, 21243004 |Term birth of newborn (finding)| 2, 367494004 |Premature birth of newborn (finding)|","1, C233324 Term birth| 2, C411994 Preterm birth",,,1,1
presentation,INFANT: LESS THAN 12 MONTHS OLD,infa_brefed,radio,Breastfed,"1, Yes-currently breastfeeding | 2, Yes-breastfeeding discontinued | 0, No | 99, Unknown",,,,,([demog_age] <= 1 and [demog_age_units]='1') or ([demog_age] <= 12 and [demog_age_units]='2') or ([demog_age] <= 365 and [demog_age_units]='3') or [demog_calcage]<=5,,This refers to the current breastfeeding regimen for the infant. ,Indicate the breastfeeding status of infant.,SNOMED,"1, 1260078007 | Maternal breastfeeding (finding) | 2, 169746009 | Breastfeeding stopped (finding) |","C6147, Breast feeding",,,1,1
presentation,INFANT: LESS THAN 12 MONTHS OLD,infa_brefedduration,number,How long did breastfeeding last? (weeks),,number,0,,,[infa_brefed] = '2',,"This refers to the duration of breastfeeding, in weeks, if breastfeeding was discontinued.","Indicate the duration of breastfeeding, in weeks, if breastfeeding was discontinued.",SNOMED,"1, 1260078007 | Maternal breastfeeding (finding) | 2, 169746009 | Breastfeeding stopped (finding) |","C6147, Breast feeding",,,,
presentation,INFANT: LESS THAN 12 MONTHS OLD,infa_aprvac,radio,Vaccinations appropriate for age/country,"1, Yes | 0, No | 99, Unknown",,,,,([demog_age] <= 1 and [demog_age_units]='1') or ([demog_age] <= 12 and [demog_age_units]='2') or ([demog_age] <= 365 and [demog_age_units]='3') or [demog_calcage]<=1,,This refers to the vaccination status according to the age of the infant and country-specific recommendations.,"Indicate 'Yes', if the infant is appropriately vaccinated for age with respect to country-specific recommendations.",SNOMED,"713404003, Vaccination given (situation)","C42196, Vaccination",,,1,1
daily,DAILY ASSESSMENT,daily_date,date_dmy,DATE OF ASSESSMENT,,date_dmy,,today,,,,This indicates the day of data collection and sampling (may not be the date of completion). This may be retrospective information at the time of discharge (transfer to other hospital or dead in hospital). ,Enter the date. Use the format DD/MM/YYYY.,,,,,,1,1
daily,DAILY ASSESSMENT,asses_lvlcare,radio,Current level of care,"1, Outpatient | 2, Admitted to normal ward for isolation only | 3, Admitted to normal ward for clinical care | 4, High dependency |  5, Intensive care admission",,,,,,,Refers to the level of care on date of assessment.,Select the highest level of care on the date of assessment.,SNOMED,SNOMED,"C4545175, Outpatient care management | C583229, Admission to ward | C131858, Admission to high dependency unit | C583239, Admission to intensive care unit",,,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_dailydata,radio,Enter Vital Signs data for this date?,"1, Yes | 0, No",,,,,,,This refers to vital signs data recorded for this date.,"Indicate 'Yes', if you want to record vital sign data for this day of assessment. If 'Yes', for the following questions unless otherwise specified, Record the value furthest from the normal physiological range recorded between 00:00 and 24:00 hours on day of assessment. Results that were rejected by the clinical team should not be included.",SNOMED,SNOMED,"C1544, Taking vital signs",,,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_highesttem,,Highest temperature (select units),,,,,,[vital_dailydata]='1',,Refers to the highest peripheral body temperature (rectal if <3 months) between 00:00 and 24:00 on day of assessment.,Select the most appropriate units for temperature.,,,,,clinical_features,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_highesttem_c,number,Highest temperature (°C),,number,0,,,[vital_dailydata]='1',,Refers to the highest peripheral body temperature (rectal if <3 months) in degrees Celsius (°C) between 00:00 and 24:00 on day of assessment.,Enter the highest peripheral body temperature (°C) recorded between 00:00 and 24:00 on day of assessment.,SNOMED,SNOMED,,,clinical_features,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_highesttem_f,number,Highest temperature (°F),,number,0,,,[vital_dailydata]='1',,Refers to the highest peripheral body temperature (rectal if <3 months) in degrees Fahrenheit (°F) between 00:00 and 24:00 on day of assessment.,Enter the highest peripheral body temperature (°F) recorded between 00:00 and 24:00 on day of assessment.,SNOMED,SNOMED,,,clinical_features,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_hr,number,HR (bpm),,number,0,,,[vital_dailydata]='1',,Refers to heart rate measured in beats per minute. This may be measured manually or by electronic monitoring.,Enter the heart rate measured in beats per minute. Record the value furthest from normal range between 00:00 to 24:00 on day of assessment.,SNOMED,SNOMED,,,clinical_features,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_rr,number,RR (breaths/min),,number,0,,,[vital_dailydata]='1',,"Refers to respiratory rate in breaths per minute. Manual rather than electronic measurement is preferred where possible (this is achieved by counting the number of breaths for one minute, counting how many times the chest rises within this time period).  If both abnormal low and high rate observed, record the abnormally high rate.","Enter the respiratory rate measured in breaths per minute. Record the value furthest from normal range between 00:00 to 24:00 on day of assessment. If both abnormal low and high rate observed, record the abnormally high rate.",SNOMED,SNOMED,,,clinical_features,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_systolicbp,number,Systolic BP (mmHg),,number,0,,,[vital_dailydata]='1',,"This refers to the systolic blood pressure from the observation with the lowest mean arterial pressure (if mean arterial pressure has not been calculated, report the measurement with lowest systolic blood pressure).  For example, if the blood pressure is 12/85 mmHg, enter 12 in the section marked 'systolic BP'.","Enter the systolic blood pressure measured in millimetres of mercury (mmHg). Record the systolic blood pressure from the observation with the lowest mean arterial pressure (MAP) (if mean arterial pressure has not been calculated, report the measurement with lowest systolic blood pressure) that occurred between 00:00 to 24:00 on day of assessment.",SNOMED,SNOMED,,,clinical_features,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_diastolicbp,number,Diastolic BP (mmHg),,number,0,,,[vital_dailydata]='1',,"This refers to the diastolic blood pressure from the observation with the lowest mean arterial pressure (if mean arterial pressure has not been calculated, report the measurement with lowest systolic blood pressure). For example, if the blood pressure is 12/85 mmHg, enter 85 in the section marked 'diastolic BP'.","Enter the diastolic blood pressure measured in millimetres of mercury (mmHg). Record the diastolic blood pressure from the observation with the lowest mean arterial pressure (MAP) (if mean arterial pressure has not been calculated, report the measurement with lowest systolic blood pressure) that occurred between 00:00 to 24:00 on day of assessment.",SNOMED,SNOMED,,,clinical_features,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_meanbp,number,Mean arterial blood pressure (mmHg),,number,0,,,[vital_dailydata]='1',,"Mean arterial blood pressure (MAP) may be directly measured (via intra-arterial catheter) or be approximated without an invasive procedure using the following formula: diastolic pressure plus 1/3 of the pulse pressure, where pulse pressure is systolic pressure - diastolic pressure.",Enter the lowest recorded MAP that occurred between 00:00 to 24:00 on day of assessment.,SNOMED,SNOMED,,,clinical_features,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_spo2room,number,Oxygen saturation at room air (no oxygen support) (%),,number,0,100,,[vital_dailydata]='1',,"This refers to the measurement of the ratio of oxygenated hemoglobin to total hemoglobin in the blood, measured at room air with no oxygen support.",Indicate the measurement of oxygen saturation at room air with no oxygen support.,,,,,clinical_features,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_spo2roomhow,radio,How was oxygen saturation at room air measured?,"1, Pulse Oximetry | 2, Arterial blood gas measurement | 88, Other | 99, Unknown",,,,,[vital_dailydata]='1',,This refers to the method of measurement of oxygen saturation.,Select the most appropriate option which represents the method of measurement of oxygen saturation.,,,,,clinical_features,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_o2supp,radio,Supplemental oxygen?,"1, Yes | 0, No | 99, Unknown",,,,,[vital_dailydata]='1',,"This refers to the delivery of supplemental oxygen at the time of the above, lowest SpO2 (%), recording.","Indicate 'Yes', if the FiO2 was measured along-side the lowest oxygen saturation (SpO2) reported above.",SNOMED,SNOMED,,,clinical_features,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_o2supp_type,radio,Type of supplemental oxygen?,"1, Nasal Prongs | 2, Face mask | 3, High flow nasal oxygen | 4, Non-invasive ventilation | 5, Invasive ventilation | 6, ECMO / ECLS | 99, Unknown",,,,,[vital_o2supp]='1',,"This refers to the type / mode of delivery for supplemental oxygen at the time of the above, lowest SpO2 (%), recording.","Select the most approproate option which represents the type / mode of delivery for supplemental oxygen at the time of the above, lowest SpO2 (%), recording.",SNOMED,SNOMED,"C44587, Nasal prongs | C1299377, Oxygen administration by mask | C4761117, High-flow nasal cannula oxygen therapy | C1997883, Noninvasive Ventilation | C15357, Extracorporeal Membrane Oxygenation",,clinical_features,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_o2supp_spo2,number,Oxygen saturation with supplemental oxygen (%),,number,0,100,,[vital_o2supp]='1',,"This refers to the oxygen saturation, that may be measured by pulse oximetry or by arterial blood gas analysis. It is irrespective of ventilation or supplemental oxygen requirement.",Enter the percentage oxygen saturation. Record the value furthest from normal range between 00:00 to 24:00 on day of assessment.,SNOMED,SNOMED,,,clinical_features,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_o2supp_spo2how,radio,How was oxygen saturation with supplemental oxygen measured?,"1, Pulse Oximetry | 2, Arterial blood gas measurement | 88, Other | 99, Unknown",,,,,[vital_o2supp]='1',,This refers to the method of measurement of oxygen saturation.,Select the most appropriate option which represents the method of measurement of oxygen saturation.,,,,,,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_fio2spo2,,FiO2 at time of lowest SpO2 (select units),,,,,,[vital_o2supp]='1',,FiO2 can be reported as either a fraction or a percentage. Note that .21 and 21% are equivalent to the FiO2 of room-air.,Select the most appropriate units for FiO2.,SNOMED,SNOMED,"C428648, Inspired oxygen concentration",,clinical_features,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_fio2spo2_02110,number,"FiO2 at time of lowest SpO2 (Fraction, 0.21-1.0)",,number,0.21,1,,[vital_o2supp]='1',,"This refers to the measured fraction of inspired oxygen (FiO2) delivered at the time of the above, lowest oxygen saturation (%), recording.",Enter the FiO2 (.21-1.) that was measured along-side the lowest oxygen saturation (SpO2) reported above.,SNOMED,SNOMED,"C428648, Inspired oxygen concentration",,clinical_features,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_fio2spo2_pcnt,number,"FiO2 at time of lowest SpO2 (%, 21-100)",,number,21,100,,[vital_o2supp]='1',,"This refers to the measured fraction of inspired oxygen (FiO2) delivered at the time of the above, lowest oxygen saturation (%), recording.",Enter the FiO2 (21-1%) that was measured along-side the lowest oxygen saturation (SpO2) reported above.,SNOMED,SNOMED,"C428648, Inspired oxygen concentration",,clinical_features,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_fio2spo2_ltr,number,FiO2 at time of lowest SpO2 (Highest L/min),,number,0,100,,[vital_o2supp]='1',,"This refers to the measured fraction of inspired oxygen (FiO2) delivered at the time of the above, lowest oxygen saturation (%), recording.",Enter the FiO2 (L/min) that was measured along-side the lowest oxygen saturation (SpO2) reported above.,SNOMED,SNOMED,"C428648, Inspired oxygen concentration",,clinical_features,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_capillaryr,radio,Capillary refill time >2 seconds,"1, Yes | 0, No | 99, Unknown",,,,,[vital_dailydata]='1',,Capillary refill time is measured by pressing on the sternum for five seconds with a finger or thumb until the underlying skin turns white and then noting the time in seconds needed for the colour to return once the pressure is released. ,"Indicate 'Yes', if the capillary refill time was greater than 2 seconds at any time between 00:00 to 24:00 on day of assessment.",SNOMED,SNOMED,,,clinical_features,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_avpu,radio,ACVPU,"1, Alert | 5, Confusion | 2, Verbal | 3, Pain | 4, Unresponsive",,,,,[vital_dailydata]='1',,Refers to the scoring system for consciousness: alert; confused (new-onset or worsening); responding to voice; responding to pain; unresponsive.,Select the single option corresponding to the least responsive condition of the patient between 00:00 to 24:00 on day of assessment. If the patient is being sedated on the day of assessment record the value before the sedation.,SNOMED,SNOMED,,,clinical_features,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_gcs,number,Glasgow Coma Score (GCS / 15) ,,number,3,15,,[vital_dailydata]='1',,The Glasgow Coma Scale is a scoring system for consciousness. It is scored out of 15 and requires an assessment of responsiveness to stimulus. Glasgow Coma Score: https://www.glasgowcomascale.org/downloads/GCS-Assessment-Aid-English.pdf?v=3,"Enter the lowest GCS recorded between 00:00 to 24:00 on day of assessment. For intubated patients and patients with a non-fenestrated tracheostomy, give 1 point for the voice component and calculate the total as usual. Suffixes such as 't' for tracheostomy cannot be entered on to the database. If the patient is sedated on the day of assessment these parameters should correspond to the values observed before sedation.",SNOMED,SNOMED,,,clinical_features,1,1
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_rass,number,Richmond Agitation-Sedation Scale (RASS) ,,number,-5,4,,[vital_dailydata]='1',,"Richmond Agitation-Sedation Scale (RASS) is a medical scale used to measure the agitation or sedation level of a person. It ranges from -5 to +4, where  refers to an 'Alert and calm' patient that spontaneously pays attention. ","If performed, enter the lowest value (between -5 and +4) between 00:00 to 24:00 hours on day of assessment.",,,"C472839, Richmond Agitation-Sedation Scale",,clinical_features,1,
daily,VITAL SIGNS & ASSESSMENTS: Record the value furthest from normal range between 00:00  to 24:00 on day of assessment.,vital_urineflow,number,Urine output (mL/24 hours),,number,0,,,[vital_dailydata]='1',,"This refers to the amount of urine the patient has produced over a 24-hour period, specifically the date of assessment. This may be measured e.g. via use of a urinary catheter or estimated.",Record the patient's urine output (in ml/24hours) over the day of assessment,SNOMED,SNOMED,,,clinical_features,1,
daily,SYMPTOMS: Indicate if experienced between 00:00  to 24:00 on day of assessment.,sympt_dailydata,radio,Enter patient reported symptoms data for this date?,"1, Yes | 0, No",,,,,,,This refers to signs and symptoms recorded o this date.,"Indicate 'Yes', if you want to record signs and symptoms data for this day of assessment. ",SNOMED,SNOMED,"C3788, Signs and Symptoms",,,,1
daily,SYMPTOMS: Indicate if experienced between 00:00  to 24:00 on day of assessment.,sympt_sys,descriptive,Systemic / general symptoms,,,,,,[sympt_dailydata]='1',Systemic/General,This refers to systemic / general / non-specific signs and symptoms,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",,,,,,,1
daily,SYMPTOMS: Indicate if experienced between 00:00  to 24:00 on day of assessment.,sympt_fever,radio,Fever,"1, Yes | 0, No | 99, Unknown",,,,,[sympt_dailydata]='1',Systemic/General,"Defined as the sensation of elevated body temperature without formal measurement, or a measured body temperature greater or equal to 38-degrees Celsius (38°C) or 1.4-Fahrenheit (1.4°F). ","Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,SNOMED,"C15967, Fever",,clinical_features,,1
daily,SYMPTOMS: Indicate if experienced between 00:00  to 24:00 on day of assessment.,sympt_anosmia,radio,Loss of smell / anosmia,"1, Yes | 0, No | 99, Unknown",,,,,[sympt_dailydata]='1',Systemic/General,This refers to patient reported and/or clinician-diagnosed inability of the patient to perceive odours,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,SNOMED,"C3126, Anosmia",,clinical_features,,
daily,SYMPTOMS: Indicate if experienced between 00:00  to 24:00 on day of assessment.,sympt_ageusia,radio,Loss of taste / ageusia,"1, Yes | 0, No | 99, Unknown",,,,,[sympt_dailydata]='1',Systemic/General,This refers to patient reported and/or clinician-diagnosed loss of taste function of the tongue.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,SNOMED,"C2364111, Ageusia",,clinical_features,,
daily,SYMPTOMS: Indicate if experienced between 00:00  to 24:00 on day of assessment.,sympt_resp,descriptive,Respiratory symptoms,,,,,,[sympt_dailydata]='1',Respiratory,This refers to signs and symptoms relating to the respiratory system.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",,,,,,,1
daily,SYMPTOMS: Indicate if experienced between 00:00  to 24:00 on day of assessment.,sympt_cough,radio,Cough,"1, Yes | 0, No | 99, Unknown",,,,,[sympt_dailydata]='1',Respiratory,"This refers to the presence of a cough and its characteristics. A productive cough refers to a cough accompanied by expectorated secretions (phlegm or mucus), while a non-productive cough refers to one which is not accompanied by expectorated secretions. Haemoptysis refers to the presence of blood or blood-streaked sputum from the respiratory tract.","Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,SNOMED,"C12, Coughing",,clinical_features,,1
daily,SYMPTOMS: Indicate if experienced between 00:00  to 24:00 on day of assessment.,sympt_cough_type,radio,Cough type,"1, Non Productive  | 2, Productive |3, Haemoptysis |99, Unknown",,,,,[sympt_cough] = '1',Respiratory,This refers to the type of cough. A productive cough refers to a cough accompanied by expectorated secretions (phlegm or mucus),"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,SNOMED,C451597 Productive Cough ,,clinical_features,,1
daily,SYMPTOMS: Indicate if experienced between 00:00  to 24:00 on day of assessment.,sympt_sorethroat,radio,Sore throat,"1, Yes | 0, No | 99, Unknown",,,,,[sympt_dailydata]='1',Respiratory,"Defined as an unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) and perceived to originate in the throat.","Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,SNOMED,"C3854544, Sore throat",,clinical_features,,1
daily,SYMPTOMS: Indicate if experienced between 00:00  to 24:00 on day of assessment.,sympt_rhinorrhoe,radio,Runny nose / rhinorrhoea,"1, Yes | 0, No | 99, Unknown",,,,,[sympt_dailydata]='1',Respiratory,Defined as increased mucosal discharge of the nose.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,SNOMED,"C12688, Rhinorrhea",,clinical_features,,
daily,SYMPTOMS: Indicate if experienced between 00:00  to 24:00 on day of assessment.,sympt_wheezing,radio,Wheezing,"1, Yes | 0, No | 99, Unknown",,,,,[sympt_dailydata]='1',Respiratory,Defined as a high-pitched breath sound resulting from a narrowing or obstruction of the small airway.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,SNOMED,"C43144, Wheezing",,clinical_features,,
daily,SYMPTOMS: Indicate if experienced between 00:00  to 24:00 on day of assessment.,sympt_shortbreat,radio,Shortness of breath ,"1, Yes | 0, No | 99, Unknown",,,,,[sympt_dailydata]='1',Respiratory,Defined as the uncomfortable sensation of difficult or laboured breathing that is out of proportion to the patient's level of physical activity.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,SNOMED,"C423442, Dyspnea",,clinical_features,,1
daily,SYMPTOMS: Indicate if experienced between 00:00  to 24:00 on day of assessment.,sympt_nasalcongestion,radio,Nasal congestion,"1, Yes | 0, No | 99, Unknown",,,,,[sympt_dailydata]='1',Respiratory,Defined as reduced ability to pass air through the nasal cavity often leading to mouth breathing. ,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",,,,,clinical_features,,
daily,SYMPTOMS: Indicate if experienced between 00:00  to 24:00 on day of assessment.,sympt_chestpain,radio,Chest pain,"1, Yes | 0, No | 99, Unknown",,,,,[sympt_dailydata]='1',Respiratory,"Defined as the unpleasant, uncomfortable or painful sensation characterised by physical discomfort localised to the chest.","Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",SNOMED,SNOMED,"C387341, Chest pain",,clinical_features,,1
daily,SYMPTOMS: Indicate if experienced between 00:00  to 24:00 on day of assessment.,sympt_sneez,radio,Sneezing,"1, Yes | 0, No | 99, Unknown",,,,,[sympt_dailydata]='1',Respiratory,"This refers to a sudden violent, spasmodic, audible expiration of breath through the nose and mouth.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,76067001,,,,,
daily,SIGNS: Record the clinical findings observed between 00:00 and 24:00 on the day of assessment,sign_dailydata,radio,Enter clinical signs data for this date?,"1, Yes | 0, No",,,,,,,This refers to signs and symptoms recorded o this date.,"Indicate 'Yes', if you want to record signs and symptoms data for this day of assessment. ",SNOMED,SNOMED,"C3788, Signs and Symptoms",,,1,1
daily,SIGNS: Record the clinical findings observed between 00:00 and 24:00 on the day of assessment,sign_sys,descriptive,Systemic / general signs,,,,,,[sign_dailydata]='1',Systemic/General,This refers to systemic / general / non-specific signs and symptoms,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",,,,,,1,1
daily,SIGNS: Record the clinical findings observed between 00:00 and 24:00 on the day of assessment,sign_hypotherm,radio,Hypothermia,"1, Yes | 0, No | 99, Unknown",,,,,[sign_dailydata]='1',Systemic/General,This refers to abnormally reduced body temperature due to failed thermoregulation.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",,,,,,,
daily,SIGNS: Record the clinical findings observed between 00:00 and 24:00 on the day of assessment,sign_dehyrdation,radio,Dehydration,"1, Yes | 0, No | 99, Unknown",,,,,[sign_dailydata]='1',Systemic/General,This refers to excessive loss of water from the body.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",,,,,,,
daily,SIGNS: Record the clinical findings observed between 00:00 and 24:00 on the day of assessment,sign_oedema,radio,Oedema,"1, Yes | 0, No | 99, Unknown",,,,,[sign_dailydata]='1',Systemic/General,This refers to accumulation of an excessive amount of fluid in cells or intercellular tissues.,"Indicate 'Yes', if the patient experienced this between 00:00 to 24:00 on day of assessment.",,,,,,1,
