Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_Disease_Covid,preset_Disease_Dengue,preset_Disease_Mpox,preset_Disease_H5Nx,preset_Score_CharlsonCI,preset_Score_SOFA
presentation,MEDICATION PREVIOUS 7-DAYS,drug7_ivfluid_reas,checkbox,Indication / reason,"1, Shock | 88, Other | 99, Unknown",,,,,[drug7_ivfluid] = '1',,"This refers to the indication for intravenous fluids. Shock refers to circulatory failure, causing inadequate oxygen delivery to meet cellular metabolic needs. It is characterised by any two of the following: evidence of hypoperfusion (e.g. slow capillary refill, cold skin, and rapid and weak pulse), narrow pulse pressure (less than or equal to 20mmHg), hypotension for age, and tachycardia.",Indicate the indication for intravenous fluids.,SNOMED,"27942005, Shock (disorder)","C0036974, Shock",,,,1,,,,
presentation,MEDICATION PREVIOUS 7-DAYS,drug7_ivfluid_oth,text,Specify other reason,,,,,,[drug7_ivfluid_reas(88)]='1',,"This refers to the indication for intravenous fluids. Shock refers to circulatory failure, causing inadequate oxygen delivery to meet cellular metabolic needs. It is characterised by any two of the following: evidence of hypoperfusion (e.g. slow capillary refill, cold skin, and rapid and weak pulse), narrow pulse pressure (less than or equal to 20mmHg), hypotension for age, and tachycardia.","If 'Other', write the indication for intravenous fluids.",,,,,,,1,,,,
presentation,MEDICATION PREVIOUS 7-DAYS,drug7_ivfluid_add,radio,Additional intravenous fluid,"1, Yes | 0, No | 99, Unknown",,,,,[drug7_ivfluid] = '1',,This refers to additional intravenous fluids (not recorded above) in the 7 days prior to this most recent admission / presentation.,Indicate 'Yes' if the patient received any additional intravenous fluids (not recorded above) in the 7 days prior to this most recent admission / presentation.,,,,,,,1,,,,
presentation,MEDICATION PREVIOUS 7-DAYS,drug7_ivfluid_agent2,dropdown,Intravenous fluid type,"1, Crystalloid | 2, Albumin | 3, Gelatin | 4, Starches | 5, Fibrinogen concentrate | 88, Other fluid",,,,,[drug7_ivfluid_add] = '1',,"This refers to the type of parenteral or intravenous (IV) fluid is prescribed as a replacement of fluid, electrolytes, calories, vitamins, and other nutritional substances. Crystalloid fluids refers to solutions of mineral salts, including normal (0.9%) saline, Lactated Ringer's/Hartman's solution, 5% dextrose in water, 10% dextrose in water, hypotonic and hypertonic saline, among others. Albumin refers to intravenous preparations of purified human serum albumin used to replace lost albumin in patients with hypoalbuminemia, to treat hypovolemia and ascites, and as a part of some diagnostic imaging kits. Common albumin colloid solutions include Albumin 4%, 5% and 20% among others. Gelatin refers to a colloidal, isotonic, physiologically balanced, plasma volume substitute containing succinylated gelatine and electrolytes, with potential nephroprotective properties. Common gelatin parenteral fluids include Gelaspan, Gelofusine, Geloplasma, Isoplex, among others. Starches refers to an intravenous solution of hydroxyethyl starch (HES), synthetic, nonionic hydroxyethyl derivative of starch used as a plasma expander when prepared in an isotonic solution. Common starch based, synthetic colloid, parenteral fluids include hydroxyethyl starch (HES) products, among others.",Select the most appropriate option(s) corresponding to the parenteral fluid(s) administered.,SNOMED,"52454007, Albumin (substance) | 776088002,  Product containing only gelatin (medicinal product) | 312063004, Product containing human fibrinogen (medicinal product)","C0056562, crystalloid solutions | C0001924, Albumins | C0017237, gelatin | C3495650, hydroxyethyl starch 130-0.4 60 MG/ML Injectable Solution | C2587184, fibrinogen, human",,,,1,,,,
presentation,MEDICATION PREVIOUS 7-DAYS,drug7_ivfluid_otyp2,text,Specify other intravenous fluid type,,,,,,[drug7_ivfluid_agent2]='88',,"This refers to the type of parenteral or intravenous (IV) fluid is prescribed as a replacement of fluid, electrolytes, calories, vitamins, and other nutritional substances. Intravenous fluids may be used for rehydration, maintenance requirements or resuscitation.","If 'Other', write the type of intravenous fluid(s) used.",SNOMED,354078009 |Intravenous fluids and electrolytes (product)|,"CL524079, IV fluid",,,,1,,,,
presentation,MEDICATION PREVIOUS 7-DAYS,drug7_ivfluid_vol2,number,Total intravenous fluid volume in the previous 24 hours (mL),,number,0,,,[drug7_ivfluid_add] = '1',,"Parenteral or intravenous (IV) fluid is prescribed as a replacement of fluid, electrolytes, calories, vitamins, and other nutritional substances. Intravenous fluids may be used for rehydration, maintenance requirements or resuscitation.",Specify the total volume of the intravenous fluid received by the patient over the previous 24 hours. Record the volume in millilitres (mL).,,,,,,,1,,,,
presentation,MEDICATION PREVIOUS 7-DAYS,drug7_unlisted,radio,Other pathogen-targeted medications,"1, Yes | 0, No | 99, Unknown",,,,,,,,"Indicate 'Yes', if pathogen-targeted medications (other than those specified above) have been taken in the 7 days prior to this most recent admission / presentation.",,,,,,,1,,,,
presentation,MEDICATION PREVIOUS 7-DAYS,drug7_unlisted_type,user_list,Other pathogen-targeted medications,,,,,drugs_Other,[drug7_unlisted]='1',,,"Indicate 'Yes', if pathogen-targeted medications (other than those specified above) have been taken in the 7 days prior to this most recent admission / presentation.",,,,,,,1,,,,
presentation,MEDICATION PREVIOUS 14-DAYS,drug14_antiviral,radio,Antiviral,"1, Yes | 0, No | 99, Unknown",,,,,,,,,,,,,,,,,,,
presentation,MEDICATION PREVIOUS 14-DAYS,drug14_antiviral_type,user_list,Antiviral,,,,,drugs_Antiviral,[drug14_antiviral] = '1',,"An antiviral agent refers to any agent(s) prescribed to treat or prevent viral infections by interfering with the viral replication cycle. Examples of neuraminidase inhibitors include oseltamivir, ribavirin, acyclovir and lopinavir/ritonavir. Topical preparations are not included.","Indicate 'Yes', if the patient has taken an antiviral in the 14 days prior to this most recent admission / presentation",SNOMED,"788081006, Medicinal product acting as antiviral agent (product)|","C0003451, Antiviral agent",,,1,,1,1,,
presentation,MEDICATION PREVIOUS 14-DAYS,drug14_antiviral_route,radio,Antiviral administration route,"1, Oral | 2, Inhaled | 3, IV | 4, Topical | 99, Unknown",,,,,[drug14_antiviral] = '1',,"This refers to the part of the body through which or into which, or the way in which, the medicinal product (drug) is introduced. Oral refers to administering by mouth. Inhaled refers to administration through the respiratory route (insufflation into the respiratory tract). IV (intravenous) refers to administering into bloodstream through injection into a vein. Topical refers to administration by application of drug preparations to the surfaces of the body, especially the skin or mucous membranes.",Indicate the route of administration for the antiviral agent.,SNOMED,"386359008, Administration of drug or medicament via oral route (procedure) | 243132000, Inhaled drug administration (procedure) | 386358000, Administration of drug or medicament via intravenous route (procedure) | 431695009, Administration of drug or medicament to skin via topical route (procedure)",,,,,,1,,,
presentation,MEDICATION PREVIOUS 14-DAYS,drug14_antiviraldat,date_dmy,Antiviral start date,,date_dmy,,today,,[drug14_antiviral]='1',,This refers to the date the medication was started / first dose was administered. ,Enter the date in DD/MM/YYYY format.,,,,,,1,,1,1,,
presentation,MEDICATION PREVIOUS 14-DAYS,drug14_antiviralday,text,Number of days antivirals taken,,number,0,,,[drug14_antiviral]='1',,Includes all calendar days in which a dose was received or instructed to take on discharge prescription.,Enter the total number of days for which a dose was received or instructed to take on discharge prescription.,,,,,,1,,1,1,,
presentation,MEDICATION PREVIOUS 14-DAYS,drug14_steroid,radio,Steroid,"1, Yes | 0, No | 99, Unknown",,,,,,,"Corticosteroids (commonly referred to as 'steroids') refers to all types of therapeutic corticosteroid, made in the adrenal cortex (the outer part of the adrenal gland). They are also made in the laboratory. Examples include: prednisolone, prednisone, methyl-prednisolone, dexamethasone, hydrocortisone, fluticasone, betametasone. Topical preparations are not included, but inhaled preparations are included.","Indicate 'Yes', if the patient has taken a 'steroid' in the 14 days prior to this most recent admission / presentation",SNOMED,"788326005, Product containing adrenal cortex hormone (product)|","CL554601, Therapeutic corticosteroid",,,1,,1,1,,
presentation,MEDICATION PREVIOUS 14-DAYS,drug14_steroid_type,user_list,Steroid,,,,,drugs_Steroids,[drug14_steroid]='1',,"Corticosteroids (commonly referred to as 'steroids') refers to all types of therapeutic corticosteroid, made in the adrenal cortex (the outer part of the adrenal gland). They are also made in the laboratory. Examples include: prednisolone, prednisone, methyl-prednisolone, dexamethasone, hydrocortisone, fluticasone, betametasone. Topical preparations are not included, but inhaled preparations are included.","Indicate 'Yes', if the patient has taken a 'steroid' in the 14 days prior to this most recent admission / presentation",SNOMED,"788326005, Product containing adrenal cortex hormone (product)|","CL554601, Therapeutic corticosteroid",,,1,,1,1,,
presentation,MEDICATION PREVIOUS 14-DAYS,drug14_immunusupp,radio,Immunosuppressant agents (not steroids),"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to a patient who is known to have taken prescribed medications that are known to have an immunosuppressing effect (excluding steroids/corticosteroids). Topical preparations should not be recorded.,"Indicate 'Yes', if the patient has taken an immunosuppressant agent in the 14 days prior to this most recent admission / presentation",SNOMED,"69431002, Medicinal product acting as immunosuppressant (product)|","CL942512, Immunosuppressant agent",,risk_factor_comor,1,,1,1,,
presentation,MEDICATION PREVIOUS 14-DAYS,drug14_immunusupp_type,user_list,Immunosuppressant agents (not steroids),,,,,drugs_Immunosuppressants,[drug14_immunusupp]='1',,This refers to a patient who is known to have taken prescribed medications that are known to have an immunosuppressing effect (excluding steroids/corticosteroids). Topical preparations should not be recorded.,"Indicate 'Yes', if the patient has taken an immunosuppressant agent in the 14 days prior to this most recent admission / presentation",SNOMED,"69431002, Medicinal product acting as immunosuppressant (product)|","CL942512, Immunosuppressant agent",,risk_factor_comor,1,,1,1,,
presentation,MEDICATION PREVIOUS 14-DAYS,drug14_antibiotic,radio,Antibiotics,"1, Yes | 0, No | 99, Unknown",,,,,,,Antibiotics refers to any agent(s) that selectively target bacteria.  Topical preparations should not be recorded.,"Indicate 'Yes', if the patient has taken an antibiotic in the 14 days prior to this most recent admission / presentation",SNOMED,"346325008, Medicinal product acting as antibacterial agent (product)|","C0279516, Antibacterial",,,1,,1,1,,
presentation,MEDICATION PREVIOUS 14-DAYS,drug14_antibiotic_type,user_list,Antibiotics,,,,,drugs_Antibiotics,[drug14_antibiotic]='1',,Antibiotics refers to any agent(s) that selectively target bacteria.  Topical preparations should not be recorded.,"Indicate 'Yes', if the patient has taken an antibiotic in the 14 days prior to this most recent admission / presentation",SNOMED,"346325008, Medicinal product acting as antibacterial agent (product)|","C0279516, Antibacterial",,,1,,1,1,,
presentation,MEDICATION PREVIOUS 14-DAYS,drug14_nsaid,radio,NSAIDs,"1, Yes | 0, No | 99, Unknown",,,,,,,"Non-steroidal anti-inflammatory drugs or NSAIDS refers to any agent that is not a steroid and has potential anti-inflammatory, analgesic, antipyretic and anti-platelet activities. Most nonsteroidal anti-inflammatory drugs (NSAIDs) act by inhibiting the conversion of arachidonic acid to the precursors of prostaglandin and thromboxane by cyclooxygenase enzymes. Topical preparations should not be recorded.","Indicate 'Yes', if the patient has taken an NSAID in the 14 days prior to this most recent admission / presentation",,16403005 |Non-steroidal anti-inflammatory agent (product)|,"C0003211, Nonsteroidal Antiinflammatory Drug",,,,,,1,,
presentation,MEDICATION PREVIOUS 14-DAYS,drug14_nsaid_type,user_list,NSAIDs,,,,,drugs_NSAIDs,[drug14_nsaid]='1',,"Non-steroidal anti-inflammatory drugs or NSAIDS refers to any agent that is not a steroid and has potential anti-inflammatory, analgesic, antipyretic and anti-platelet activities. Most nonsteroidal anti-inflammatory drugs (NSAIDs) act by inhibiting the conversion of arachidonic acid to the precursors of prostaglandin and thromboxane by cyclooxygenase enzymes. Topical preparations should not be recorded.","Indicate 'Yes', if the patient has taken an NSAID in the 14 days prior to this most recent admission / presentation",,16403005 |Non-steroidal anti-inflammatory agent (product)|,"C0003211, Nonsteroidal Antiinflammatory Drug",,,,,,1,,
presentation,MEDICATION PREVIOUS 14-DAYS,drug14_herb,radio,Herbal or traditional treatment,"1, Yes | 0, No | 99, Unknown",,,,,,,"Herbal or traditional treatment refers to herbs, herbal materials, herbal preparations and finished herbal products, that contain as active ingredients parts of plants, and other knowledge, skills, and practices based on the theories, beliefs, and experiences indigenous to different cultures that are used to treat physical or mental illness.","Indicate 'Yes', if the patient has taken a 'Herbal or traditional treatment in the 14 days prior to this most recent admission / presentation",SNOMED,"349365008,  Herbal medicine (product)","C2240391, Herbal medicine (product)",,,,,1,,,
presentation,MEDICATION PREVIOUS 14-DAYS,drug14_herbreas,text,Herbal or traditional treatment active ingredient,,,,,,[drug14_herb]='1',,This refers to the pharmaceutically active component(s) of a preparation of herbal or traditional medication(s).,"If 'Yes', specify the pharmaceutically active component(s) of a preparation of herbal or traditional medication(s).",,,,,,,,1,,,
presentation,MEDICATION PREVIOUS 14-DAYS,drug14_hivprep,radio,HIV PrEP / PEP,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to pre-exposure prophylaxis (PrEP) and post-exposure prophylaxis (PEP) to prevent HIV.,"Indicate 'Yes', if the patient received anti-retroviral therapy, for the purposes of PrEP and PEP to prevent HIV, in the 14 days prior to this most recent admission / presentation.",SNOMED,"1287783000, Administration of human immunodeficiency virus pre-exposure prophylaxis (procedure) | 235921000112100, Administration of human immunodeficiency virus post-exposure prophylaxis (procedure)",,,,,,1,,,
presentation,MEDICATION PREVIOUS 14-DAYS,drug14_unlisted,radio,Other pathogen-targeted medications,"1, Yes | 0, No | 99, Unknown",,,,,,,"This refers to other pathogen-targeted medication, not listed above.","Indicate 'Yes', if pathogen-targeted medications (other than those specified above) have been taken in the 14 days prior to this most recent admission / presentation.",,,,,,1,,1,,,
presentation,MEDICATION PREVIOUS 14-DAYS,drug14_unlisted_type,user_list,Other pathogen-targeted medications,,,,,drugs_Other,[drug14_unlisted]='1',,"This refers to other pathogen-targeted medication, not listed above.","Indicate 'Yes', if pathogen-targeted medications (other than those specified above) have been taken in the 14 days prior to this most recent admission / presentation.",,,,,,1,,1,,,
presentation,VACCINATION,vacci_covid19,group,COVID 19,,,,,,,,,,,,,,,1,,,,,
presentation,VACCINATION,vacci_covid19_yn,radio,Vaccinated for COVID-19 (ever),"1, Yes | 0, No | 99, Unknown",,,,,,,"Ever received a vaccine targeted against SARS-Cov-2. Examples include Spikevax (Moderna), Comirnaty (Pfizer/BioNTech), Nuvaxovid (Novavax), Vaxzevria (AstraZeneca/Oxford), Janssen COVID-19 Vaccine (Johnson & Johnson), Valneva (Valneva).","Indicate 'Yes', if the patient has ever received a vaccine targetted against SARS-Cov-2",,,,,risk_factor_comor,1,,,,,
presentation,VACCINATION,vacci_covid19_date1,date_dmy,Date of first COVID-19 vaccine ,,date_dmy,,today,,[vacci_covid19_yn] = '1',,"This refers to the date on which the first dose of COVID-19 vaccine was received in the format DD/MM/YYYY.  If precise date unknown, estimate.  ","Write the date of first COVID-19 vaccine in the format DD/MM/YYYY. If precise date unknown, estimate.  ",,,,,,1,,,,,
presentation,VACCINATION,vacci_covid19_type1,radio,Type of first COVID-19 vaccine ,"1, Pfizer/BioNTech | 2, AstraZeneca/University of Oxford (Covishield in India) | 3, Moderna | 4, Novavax |5, Janssen (Johnson & Johnson) | 6, Sinopharm | 7, Sinovac | 8, Sputnik V | 9, Covaxin | 10, CanSinoBIO | 99, Unknown | 0, Other, please specify",,,,,[vacci_covid19_yn] = '1',,Refers to the type of the first COVID-19 vaccine the patient received.,Select the type of first COVID-19 vaccine.,,,,,,1,,,,,
presentation,VACCINATION,vacci_covid19_type1other,text,Specify if other,,,,,,[vacci_covid19_type1] = '0',,Refers to the type of the first COVID-19 vaccine the patient received.,Specify if other ,,,,,,1,,,,,
presentation,VACCINATION,vacci_covid19_date2,date_dmy,Date of second COVID-19 vaccine ,,date_dmy,,today,,[vacci_covid19_yn] = '1',,"This refers to the date on which the second dose of COVID-19 vaccine was received in the format DD/MM/YYYY. If precise date unknown, estimate.  ","Write the date of second COVID-19 vaccine in the format DD/MM/YYYY. If precise date unknown, estimate.  ",,,,,,1,,,,,
presentation,VACCINATION,vacci_covid19_type2,radio,Type of second COVID-19 vaccine ,"1, Pfizer/BioNTech | 2, AstraZeneca/University of Oxford (Covishield in India) | 3, Moderna | 4, Novavax |5, Janssen (Johnson & Johnson) | 6, Sinopharm | 7, Sinovac | 8, Sputnik V | 9, Covaxin | 10, CanSinoBIO | 99, Unknown | 0, Other, please specify",,,,,[vacci_covid19_yn] = '1',,Refers to the type of the second COVID-19 vaccine the patient received.,Select the type of second COVID-19 vaccine.,,,,,,1,,,,,
presentation,VACCINATION,vacci_covid19_type2other,text,Specify if other,,,,,,[vacci_covid19_type2] = '0',,Refers to the type of the second COVID-19 vaccine the patient received.,Specify if other ,,,,,,1,,,,,
presentation,VACCINATION,vacci_covid19_date3,date_dmy,Date of third COVID-19 vaccine ,,date_dmy,,today,,[vacci_covid19_yn] = '1',,"This refers to the date on which the third dose of COVID-19 vaccine was received in the format DD/MM/YYYY. If precise date unknown, estimate.  ","Write the date of third COVID-19 vaccine in the format DD/MM/YYYY. If precise date unknown, estimate.  ",,,,,,1,,,,,
presentation,VACCINATION,vacci_covid19_type3,radio,Type of third COVID-19 vaccine ,"1, Pfizer/BioNTech | 2, AstraZeneca/University of Oxford (Covishield in India) | 3, Moderna | 4, Novavax |5, Janssen (Johnson & Johnson) | 6, Sinopharm | 7, Sinovac | 8, Sputnik V | 9, Covaxin | 10, CanSinoBIO | 99, Unknown | 0, Other, please specify",,,,,[vacci_covid19_yn] = '1',,Refers to the type of the third COVID-19 vaccine the patient received.,Select the type of third COVID-19 vaccine.,,,,,,1,,,,,
presentation,VACCINATION,vacci_covid19_type3other,text,Specify if other,,,,,,[vacci_covid19_type3] = '0',,Refers to the type of the third COVID-19 vaccine the patient received.,Specify if other ,,,,,,1,,,,,
presentation,VACCINATION,vacci_influenza_yn,radio,Vaccinated for seasonal influenza (ever),"1, Yes | 0, No | 99, Unknown",,,,,,,Ever received a vaccine targeting seasonal influenza.,"Indicate 'Yes', if the patient has ever received a seasonal influenza vaccine.",,,,,risk_factor_comor,1,,,1,,
presentation,VACCINATION,vacci_influenza_date,date_dmy,Date of most recent seasonal influenza vaccine,,date_dmy,,today,,[vacci_influenza_yn] = '1',,This refers to the date of the most recent seasonal influenza vaccine,"Write the date of the most recent seasonal influenza vaccine in the format DD/MM/YYYY. If precise date unknown, estimate.  ",,,,,risk_factor_comor,1,,,1,,
presentation,VACCINATION,vacci_aviinflue_yn,radio,Vaccinated for avian influenza ,"1, Yes | 0, No | 99, Unknown",,,,,,,Ever received a vaccine targeting avian influenza.,"Indicate 'Yes', if the patient has ever received an avian influenza vaccine.",,,,,risk_factor_comor,1,,,1,,
presentation,VACCINATION,vacci_aviinflue_date,date_dmy,Date of most recent avian influenza vaccine,,date_dmy,,today,,[vacci_aviinflue_yn] = '1',,This refers to the date of the most recent avian influenza vaccine,"Write the date of the most recent avian influenza vaccine in the format DD/MM/YYYY. If precise date unknown, estimate.  ",,,,,risk_factor_comor,1,,,1,,
presentation,VACCINATION,vacci_dengue,group,DENGUE,,,,,,,,This question group pertains to previous dengue vaccination(s).,,,,,,,,1,,,,
presentation,VACCINATION,vacci_dengue_yn,radio,Vaccinated for dengue,"1, YES-once | 2, YES-twice | 3, YES-thrice | 0, No | 99, Unknown",,,,,,,Identifies whether the patient has ever received the dengue vaccine prior to this illness episode.,Select the most appropriate option that represents whether the patient has ever received the dengue vaccine prior to this illness episode.,SNOMED,"827179001, Administration of vaccine product containing only Dengue virus antigen (procedure)","C5231315, Administration of dengue vaccine",,risk_factor_comor,,1,,,,
presentation,VACCINATION,vacci_dengue_date1,date_dmy,Date of first dengue vaccine,,date_dmy,,today,,[vacci_dengue_yn]='1' or [vacci_dengue_yn]='2' or [vacci_dengue_yn]='3',,"This refers to the date on which the first dose of dengue vaccine was received in the format DD/MM/YYYY.  If precise date unknown, estimate.  ","Write the date on which the first dose of vaccine was received in the format DD/MM/YYYY. If precise date unknown, estimate.  ",,,,,,,1,,,,
presentation,VACCINATION,vacci_dengue_type1,radio,Type of first dengue vaccine,"1, CYD-TVD (Dengvaxia) | 2, TAK-003 (QDENGA)",,,,,[vacci_dengue_yn]='1' or [vacci_dengue_yn]='2' or [vacci_dengue_yn]='3',,Refers to the type of the first dengue vaccine the patient received.,Select the most appropriate option that represents the type of the first dengue vaccine the patient received.,,,"C5196214, Dengvaxia | ",,,,1,,,,
presentation,VACCINATION,vacci_dengue_date2,date_dmy,Date of second dengue vaccine,,date_dmy,,today,,[vacci_dengue_yn]='2' or [vacci_dengue_yn]='3',,"This refers to the date on which the second dose of dengue vaccine was received in the format DD/MM/YYYY.  If precise date unknown, estimate.  ","Write the date on which the second dose of vaccine was received in the format DD/MM/YYYY. If precise date unknown, estimate.  ",,,,,,,1,,,,
presentation,VACCINATION,vacci_dengue_type2,radio,Type of second dengue vaccine,"1, CYD-TVD (Dengvaxia) | 2, TAK-003 (QDENGA)",,,,,[vacci_dengue_yn]='2' or [vacci_dengue_yn]='3',,Refers to the type of the second dengue vaccine the patient received.,Select the most appropriate option that represents the type of the second dengue vaccine the patient received.,,,"C5196214, Dengvaxia | ",,,,1,,,,
presentation,VACCINATION,vacci_dengue_date3,date_dmy,Date of third dengue vaccine,,date_dmy,,today,,[vacci_dengue_yn]='3',,"This refers to the date on which the third dose of dengue vaccine was received in the format DD/MM/YYYY.  If precise date unknown, estimate.  ","Write the date on which the third dose of vaccine was received in the format DD/MM/YYYY. If precise date unknown, estimate.  ",,,,,,,1,,,,
presentation,VACCINATION,vacci_dengue_type3,radio,Type of third dengue vaccine,"1, CYD-TVD (Dengvaxia) | 2, TAK-003 (QDENGA)",,,,,[vacci_dengue_yn]='3',,Refers to the type of the third dengue vaccine the patient received.,Select the most appropriate option that represents the type of the third dengue vaccine the patient received.,,,"C5196214, Dengvaxia | ",,,,1,,,,
presentation,VACCINATION,vacci_mpox,group,MPOX,,,,,,,,,,,,,,,,,1,,,
presentation,VACCINATION,vacci_mpox_1980,radio,Received smallpox vaccine prior to 1980?,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to receiving a smallpox vaccine prior to 1980 and thus unrelated to the current event.,"Indicate 'Yes', if the patient recieved a smallpox vaccine prior to 1980.",,,,,,,,1,,,
presentation,VACCINATION,vacci_mpox_date,text,Year vaccinated (estimate if uncertain),,number,,1980,,[vacci_mpox_1980]='1',,This refers to receiving a smallpox vaccine prior to 1980 and thus unrelated to the current event.,Write the year in which the patient received the smallpox vaccine. Estimate if uncertain. Note it must not exceed 1980. Leave response empty if year is unknown.,,,,,,,,1,,,
presentation,VACCINATION,vacci_mpox_scar,radio,Is a smallpox vaccination scar visible (usually on the upper arm if present)?,"1, Yes | 0, No | 99, Unknown",,,,,[vacci_mpox_1980]='1',,"This refers to a scar at the site of smallpox vaccination (usually on the upper arm if present)) which is generally round, may have irregular edges and appear lower than the skin around it.","Indicate 'Yes', if the patient has a visible smallpox vaccine scar.",,,,,,,,1,,,
presentation,VACCINATION,vacci_mpox_recent,radio,Received smallpox or mpox vaccination after 1980?,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to any smallpox or mpox vaccination after 1980.,"Indicate 'Yes', if the patient received the smallpox vaccination after 1980.",SNOMED,"229881000001106, Smallpox vaccine (product) | ","C0037355, smallpox vaccine  | C5703650, Mpox Vaccine",,,,,1,,,
presentation,VACCINATION,vacci_mpox_type,checkbox,Mpox or smallpox vaccine type,"1, Imvanex/Imvamune/Jyneos (MVA-BN) | 2, ACAM2000 | 3, LC16m8 | 88, Other | 99, Unknown",,,,,[vacci_mpox_recent]='1',,This refers to the type of Mpox or smallpox vaccine.,"Select the option(s) corresponding to the vaccine(s) received. If 'Other', Specify the other vaccine(s) below.",,,,,,,,1,,,
presentation,VACCINATION,vacci_mpox_other,text,Name of mpox or smallpox vaccine,,,,,,[vacci_mpox_type(88)]='1',,This refers to the type of Mpox or smallpox vaccine.,"If 'Other', Write the name(s) of the other smallpox/mpox vaccine(s).",,,,,,,,1,,,
presentation,VACCINATION,vacci_mpox_number,number,Number of mpox or smallpox vaccines received,,number,1,4,,[vacci_mpox_recent]='1',,This refers to the number of Mpox or smallpox vaccines received.,Write the number of Mpox or smallpox vaccines received.,,,,,,,,1,,,
presentation,VACCINATION,vacci_mpox_d1dat,date_dmy,Date of first mpox or smallpox vaccine,,date_dmy,,today,,[vacci_mpox_number] >= 1,,This refers to the first Mpox of smallpox vaccine. ,Write the exact date of first vaccine if known (use the format DD/MM/YYYY).,,,,,,,,1,,,
presentation,VACCINATION,vacci_mpox_d2dat,date_dmy,Date of second mpox or smallpox vaccine,,date_dmy,,today,,[vacci_mpox_number] >= 2,,This refers to the second Mpox of smallpox vaccine. ,Write the exact date of second vaccine if known (use the format DD/MM/YYYY).,,,,,,,,1,,,
presentation,VACCINATION,vacci_mpox_d3dat,date_dmy,Date of third mpox or smallpox vaccine,,date_dmy,,today,,[vacci_mpox_number] >= 3,,This refers to the third Mpox of smallpox vaccine. ,Write the exact date of third vaccine if known (use the format DD/MM/YYYY).,,,,,,,,1,,,
presentation,VACCINATION,vacci_mpox_d4dat,date_dmy,Date of fourth mpox or smallpox vaccine,,date_dmy,,today,,[vacci_mpox_number] >= 4,,This refers to the fourth Mpox of smallpox vaccine. ,Write the exact date of fourth vaccine if known (use the format DD/MM/YYYY).,,,,,,,,1,,,
presentation,VITAL SIGNS & ASSESSMENTS ON ADMISSION: first available data at presentation/admission - within 24 hours.,advital_datavital,radio,Enter Vital Signs data for admission?,"1, Yes | 0, No",,,,,,,,"Indicate 'Yes', if you want to record vital sign data for this day of assessment. If 'Yes', for the following questions unless otherwise specified, Record the value furthest from the normal physiological range recorded between 00:00 and 24:00 hours on day of assessment. Results that were rejected by the clinical team should not be included.",,,,,,1,1,,1,,
presentation,VITAL SIGNS & ASSESSMENTS ON ADMISSION: first available data at presentation/admission - within 24 hours.,advital_tem,,Temperature (select units),,,,,,[advital_datavital]='1',,,,,,,,clinical_features,1,1,,1,,
presentation,VITAL SIGNS & ASSESSMENTS ON ADMISSION: first available data at presentation/admission - within 24 hours.,advital_tem_c,number,Temperature (°C),,number,0,,,[advital_datavital]='1',,Refers to the first peripheral body temperature (rectal if <3 months) in degrees Celcius (°C) recorded on presentation to the health facility.,Enter the first peripheral body temperature (°C) recorded on presentation to the health facility.,SNOMED,386725007 | Body temperature (observable entity) |,,,clinical_features,1,1,,1,,
presentation,VITAL SIGNS & ASSESSMENTS ON ADMISSION: first available data at presentation/admission - within 24 hours.,advital_tem_f,number,Temperature (°F),,number,0,,,[advital_datavital]='1',,Refers to the first peripheral body temperature (rectal if <3 months) in degrees Fahrenheit (°F) recorded on presentation to the health facility.,Enter the first peripheral body temperature (°F) recorded on presentation to the health facility.,SNOMED,386725007 | Body temperature (observable entity) |,,,clinical_features,1,1,,1,,
presentation,VITAL SIGNS & ASSESSMENTS ON ADMISSION: first available data at presentation/admission - within 24 hours.,advital_hr,number,HR (beats/minute),,number,0,,,[advital_datavital]='1',,Refers to the first heart rate measured in beats per minute recorded on presentation to the health facility. This may be measured manually or by electronic monitoring.,Enter the first heart rate measured in beats per minute recorded on presentation to the health facility.,SNOMED,364075005 |Heart rate (observable entity)|,,,clinical_features,1,1,,1,,
presentation,VITAL SIGNS & ASSESSMENTS ON ADMISSION: first available data at presentation/admission - within 24 hours.,advital_systolicbp,number,Systolic BP (mmHg),,number,0,,,[advital_datavital]='1',,"This refers to the first systolic blood pressure measured in millimetres of Mercury (mmHg) recorded on presentation to the health facility. For example, if the blood pressure is 120/85 mmHg, enter 120 in the section marked 'systolic BP'.","Record the first systolic blood pressure measured in millimetres of mercury (mmHg) recorded on presentation to the health facility. For example, if the blood pressure is 120/85 mmHg, enter 120 in the section marked 'systolic BP'.",SNOMED,271649006 |Systolic blood pressure (observable entity)|,,,clinical_features,1,1,,1,,
