Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,preset_Recommended Outcomes_Dengue,Comment,Value
Streptococcus alpha-hemolytic,60631002,SNOMED,bacteria,,,,,,,,,,,355
Streptococcus anginosus,44304009,SNOMED,bacteria,,,,,,,,,,,356
Streptococcus anginosus group,415597009,SNOMED,bacteria,,,,,,,,,,,357
Streptococcus beta-hemolytic,53490009,SNOMED,bacteria,,,,,,,,,,,358
Streptococcus constellatus,76199005,SNOMED,bacteria,,,,,,,,,,,359
Streptococcus dysgalactiae,40812000,SNOMED,bacteria,,,,,,,,,,,360
Streptococcus gallolyticus,113985000,SNOMED,bacteria,,,,,,,,,,,361
Streptococcus intermedius,62170002,SNOMED,bacteria,,,,,,,,,,,362
Streptococcus mitis,57997003,SNOMED,bacteria,,,,,,,,,,,363
Streptococcus oralis,19870004,SNOMED,bacteria,,,,,,,,,,,364
Streptococcus parasanguinis,113990002,SNOMED,bacteria,,,,,,,,,,,365
Streptococcus pneumoniae,9861002,SNOMED,bacteria,,,,,,,,,,,366
Streptococcus pyogenes,80166006,SNOMED,bacteria,,,,,,,,,,,367
Streptococcus salivarius,39888004,SNOMED,bacteria,,,,,,,,,,,368
Streptococcus sanguinis,113993000,SNOMED,bacteria,,,,,,,,,,,369
Streptococcus viridans,31703004,SNOMED,bacteria,,,,,,,,,,,370
Streptococcus viridans group,31703004,SNOMED,bacteria,,,,,,,,,,,371
Strongyloides stercoralis,42625000,SNOMED,"parasite, helminth",,,,,,,,,,,372
Taenia saginata,61085008,SNOMED,"parasite, helminth",,,,,,,,,,,373
Taenia solium,17966003,SNOMED,"parasite, helminth",,,,,,,,,,,374
Talaromyces marneffei,71825007,SNOMED,fungi,,,,,,,,,,,375
Togoviridae,129231002,SNOMED,virus,,,,,,,,,,,376
Toxocara canis,88857009,SNOMED,"parasite, helminth",,,,,,,,,,,377
Toxoplasma,61949005,SNOMED,"parasite, protozoa",,,,,,,,,,,378
Toxoplasma gondii,4649006,SNOMED,"parasite, protozoa",,,,,,,,,,,379
Trichinella spiralis,16439004,SNOMED,"parasite, helminth",,,,,,,,,,,380
Trichomonas,3764006,SNOMED,"parasite, protozoa",,,,,,,,,,,381
Trichomonas vaginalis,22417000,SNOMED,"parasite, protozoa",,,,,,,,,,,382
Trichophyton,88578003,SNOMED,fungi,,,,,,,,,,,383
Trichosporon asahii,243475001,SNOMED,fungi,,,,,,,,,,,384
Trichuris trichiura,5378007,SNOMED,"parasite, helminth",,,,,,,,,,,385
Trypanosoma,40740003,SNOMED,"parasite, protozoa",,,,,,,,,,,386
Trypanosoma brucei gambiense,20027006,SNOMED,"parasite, protozoa",,,,,,,,,,,387
Trypanosoma brucei rhodesiense,79513002,SNOMED,"parasite, protozoa",,,,,,,,,,,388
Trypanosoma cruzi,88274000,SNOMED,"parasite, protozoa",,,,,,,,,,,389
Vancomycin resistant Enterococcus (VRE),113727004,SNOMED,bacteria,,,,,,,,,,,390
Vibrio cholerae,75953000,SNOMED,bacteria,,,,,,,,,,,391
Vibrio parahaemolyticus,11736008,SNOMED,bacteria,,,,,,,,,,,392
Vibrio vulnificus,55905000,SNOMED,bacteria,,,,,,,,,,,393
West Nile virus,57311007,SNOMED,virus,,,,,,,,,,,394
Wuchereria bancrofti,84925004,SNOMED,"parasite, helminth",,,,,,,,,,,395
Yeast,62093005,SNOMED,fungi,,,,,,,,,,,396
Yersinia pestis,54365000,SNOMED,bacteria,,,,,,,,,,,397
Zika virus,50471002,SNOMED,virus,,,,,,,,,,,398
