Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_UserGenerated_Oropouche,preset_Score_CharlsonCI
presentation,VACCINATION,vacci_mpox_number,number,Number of mpox or smallpox vaccines received,,number,1,4,,[vacci_mpox]='1',,This refers to the number of Mpox or smallpox vaccines received.,Write the number of Mpox or smallpox vaccines received.,,,,,,,,1,1,,,,
presentation,VACCINATION,vacci_mpox_route,radio,Route of adminstration for mpox or smallpox vaccine,"1, Intramuscular | 2, Subcutaneous | 3, Intradermal | 99, Unknown | 88, Other",,,,,[vacci_mpox]='1',,This refers to the route of adminstration for Mpox or smallpox vaccines.,Indicate the route of adminstration for Mpox or smallpox vaccines received.,,,,,,,,,1,,,,
presentation,VACCINATION,vacci_mpox_route_oth,text,Please specify other route,,,,,,[vacci_mpox_route] = '88',,This refers to the route of adminstration for Mpox or smallpox vaccines.,"If 'Other', please specify the route of adminstration",,,,,,,,,1,,,,
presentation,VACCINATION,vacci_mpox_date1,date_dmy,Date of first mpox or smallpox vaccine,,date_dmy,,today,,[vacci_mpox_number] >= 1,,This refers to the first Mpox of smallpox vaccine. ,Write the exact date of first vaccine if known (use the format DD/MM/YYYY).,,,,,,,,1,1,,,,
presentation,VACCINATION,vacci_mpox_date2,date_dmy,Date of second mpox or smallpox vaccine,,date_dmy,,today,,[vacci_mpox_number] >= 2,,This refers to the second Mpox of smallpox vaccine. ,Write the exact date of second vaccine if known (use the format DD/MM/YYYY).,,,,,,,,1,1,,,,
presentation,VACCINATION,vacci_mpox_date3,date_dmy,Date of third mpox or smallpox vaccine,,date_dmy,,today,,[vacci_mpox_number] >= 3,,This refers to the third Mpox of smallpox vaccine. ,Write the exact date of third vaccine if known (use the format DD/MM/YYYY).,,,,,,,,1,1,,,,
presentation,VACCINATION,vacci_mpox_date4,date_dmy,Date of fourth mpox or smallpox vaccine,,date_dmy,,today,,[vacci_mpox_number] >= 4,,This refers to the fourth Mpox of smallpox vaccine. ,Write the exact date of fourth vaccine if known (use the format DD/MM/YYYY).,,,,,,,,1,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_sys,descriptive,Systemic / general symptoms,,,,,,,Systemic/General,This refers to systemic / general / non-specific signs and symptoms,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,,1,1,1,1,1,1,1,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_fever,radio,Fever,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"Defined as the sensation of elevated body temperature without formal measurement, or a measured body temperature greater or equal to 38-degrees Celsius (38°C) or 100.4-Fahrenheit (100.4°F). ","Indicate 'Yes', if the patient experienced this at any time during the date of assessment.",SNOMED,"386661006, Fever","C0015967, Fever",,clinical_features,1,1,1,1,1,1,1,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_rigchill,radio,Chills or rigors,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,Defined as severe chills with violent shivering. A rigor is an episode of shaking or exaggerated shivering which can occur with a high fever. ,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,,,1,1,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_nightsweat,radio,Night sweats,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,This refers to perspiration experienced nocturnally that is unrelated to environmental temperature.,"Indicate 'Yes', if the patient experienced this at any time during the date of assessment.",,,,,,,,,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_coldsweat,radio,Cold sweats,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"This refers to sweats accompanied by sensation of feeling cold, different from sweats caused by heat or exertion. ","Indicate 'Yes', if the patient experienced this at any time during the date of assessment.",,,,,,,,,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_excesssweat,radio,Excessive sweating (hyperhidrosis),"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,This refers to excessive sweating that's not always related to heat or exercise.,"Indicate 'Yes', if the patient experienced this at any time during the date of assessment.",,,,,,,,,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_restlessne,radio,Restlessness,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"Defined as the inability to rest, relax or be still. A state of unease characterized by diffuse motor activity or motion subject to limited control, nonproductive or disorganized behaviour, and subjective distress.","Indicate 'Yes', if the patient experienced this at any time during the date of assessment.",SNOMED,"162221009, Restlessness ","C3887611, Restlessness",,clinical_features,,1,,,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_fatigue,radio,Fatigue / malaise / lethargy,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"Defined as the constellation of non-specific sensations: the feeling of tiredness characterised by a lack of energy or motivation; general discomfort or uneasiness; disinterestedness, listlessness, and indifference, resulting in difficulty performing simple tasks or concentrating.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"84229001, Fatigue |367391008, Malaise  |214264003, Lethargy","C0015672, Fatigue | C0231218, Malaise  | C0023380 Lethargy",,clinical_features,1,1,1,1,1,1,1,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_weight,radio,Weight loss,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"Defined as the reduction in total body weight that has occurred since the onset of this illness and has been unintentional or not attributable to active dieting, exercise or dedicated medication based weight-loss interventions. This can include patient-reported weight loss with or without objective measurements of weight.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,448765001 Unintentional weight loss,C2363736 Unintentional Weight loss,,clinical_features,,,1,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_anosmia,radio,Loss of smell / anosmia,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,This refers to patient reported and/or clinician-diagnosed inability of the patient to perceive odours,"Indicate 'Yes', if the patient experienced this at any time during the date of assessment.",SNOMED,"44169009, Loss of sense of smell","C0003126, Anosmia",,clinical_features,1,,,,1,1,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_ageusia,radio,Loss of taste / ageusia,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,This refers to patient reported and/or clinician-diagnosed loss of taste function of the tongue.,"Indicate 'Yes', if the patient experienced this at any time during the date of assessment.",SNOMED,"36955009, Loss of taste","C2364111, Ageusia",,clinical_features,1,,,,1,1,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_dizzy,radio,Feeling dizzy / faint,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"This refers to the subjective feeling of light-headedness or dizziness which may precede an episode of syncope or a sensation of unsteadiness, spinning or rocking.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"248223005, Feeling faint","C0581879, Felt faint",,clinical_features,,,,1,1,1,1,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_myalgia,radio,Muscle aches / myalgia,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,Defined as pain localised to a muscle or group of muscles.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"68962001, Muscle pain","C0231528, Myalgia",,clinical_features,1,1,1,1,1,1,1,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_arthralgia,radio,Joint pain / arthralgia,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"Defined as a sensation of marked discomfort or pain localised to one or more joints, including small and big joints.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"57676002, Joint pain ","C3805780, Arthralgia",,clinical_features,1,1,1,1,1,1,1,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_skinrash,radio,Skin rash,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"Defined as any change in the skin which affects its appearance or texture. A rash may be localized to one part of the body or affect all the skin. Rashes may cause the skin to change colour, itch, become warm, bumpy, dry, cracked, or blistered, swell and may be painful.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"271807003, Eruption of skin","C4227880, Skin Rash",,clinical_features,1,1,1,1,1,1,1,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_skinrash_site,checkbox,Site where rash first occurred,"1, Skin, genital | 2, Skin, non-genital | 3, Mucosa, genital | 4, Mucosa, non-genital | 5, Mouth | 6, Perianal skin | 7, Rectum | 99, Unknown| 88, Other",,,,,[adsym_skinrash]='1',Systemic/General,This refers to the location where the rash first occurred. ,Select the most appropriate option(s) corresponding to the location where the rash first occurred.,,,,,,,,1,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_skinrash_site_oth,text,Specify other first rash location,,,,,,[adsym_skinrash_site(88)]='1',Systemic/General,This refers to the location where the rash first occurred. ,"If ""other', Specify the first location a relevant rash developed.",,,,,,,,1,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_skinrash_date,date_dmy,Date first rash was observed by patient,,date_dmy,,today,,[adsym_skinrash]='1',Systemic/General,This refers to the date the patient reports to have first identified the rash. ,Write the date the patient reports to have first identified the rash (use the format DD/MM/YYYY).,,,,,,,,1,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_paresthesia,radio,Skin paresthesia,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"This refers to percieved cutaneous sensations (e.g., cold, warmth, tingling, pressure, etc.) that are experienced spontaneously in the absence of stimulation.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,,,,,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_skinchange,radio,Changes in skin texture,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"This refers to alterations in the surface appearance and feel of the skin, such as roughness, unevenness, or the presence of bumps.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,,,,,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_skinpallor,radio,Skin pallor,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,This refers to unnatural pale appearance of the skin.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,,,,,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_pruritus,radio,Itch / pruritus,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,Defined as an unpleasant or intense itching sensation that produces the urge to rub or scratch the skin to obtain relief. Itching is an irritating sensation that makes you want to scratch your skin.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"418363000, Itching of skin","C0033774, Pruritus",,clinical_features,,,1,1,1,1,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_mobilchg,radio,Change in mobility from baseline,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,This refers to the patient's ability to walk or mobilise. ,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"282145008, Unable to walk","C4228638, Unable to walk",,clinical_features,1,,1,1,1,1,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_mobile,radio,Mobility status,"1, Fully ambulant | 2, Ambulant, but with some assistance | 3, Bedridden",,,,,,Systemic/General,This refers to the patient's ability to walk or mobilise. ,Indicate the patient's mobility status at the time of presentation. ,SNOMED,"160680006, Fully mobile | 427512004, Dependent for walking | 160685001, Bed-ridden","C0231435, Mobile | CL573260, Walks with assistance | C0425251, Bed-ridden",,clinical_features,1,,1,1,1,1,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_contcry,radio,Continuous crying,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"This refers to inconsolable and excessive crying in a newborn or infant, usually defined as crying for more than three hours a day, at least three days a week, for more than three weeks","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,,,,,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_sleepmore,radio,Sleeping more than usual / lethargic / sluggish / listlessness,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"This refers to excessive sleepiness during the daytime / marked by drowsiness and an unusual lack of energy and mental alertness / infant having little energy, is drowsy, or sleeps more than usual","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,,,,,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_polydipsia,radio,Increased thirst (Polydipsia) ,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,This refers to excessive thirst,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,,,,,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_irregmenstruation,radio,Changes in menstruation (Irregular menstruation),"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"This refers to any deviations from the normal process; e.g. delayed, difficult, profuse, scanty, unusual bleeding, etc.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,,,,,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_resp,descriptive,Respiratory symptoms,,,,,,,Respiratory,This refers to signs and symptoms relating to the respiratory system.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,,1,1,1,1,1,1,1,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_cough,radio,Cough,"1, Yes | 0, No | 99, Unknown",,,,,,Respiratory,"This refers to the presence of a cough and its characteristics. A productive cough refers to a cough accompanied by expectorated secretions (phlegm or mucus), while a non-productive cough refers to one which is not accompanied by expectorated secretions. Haemoptysis refers to the presence of blood or blood-streaked sputum from the respiratory tract.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"49727002, Cough (finding)","C0010200, Coughing",,clinical_features,1,1,1,1,1,1,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_cough_type,radio,Cough type,"1, Non Productive  | 2, Productive |3, Haemoptysis |99, Unknown",,,,,[adsym_cough] = '1',Respiratory,This refers to the type of cough. A productive cough refers to a cough accompanied by expectorated secretions (phlegm or mucus),"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,28743005 Productive Cough,C0451597 Productive Cough ,,clinical_features,1,1,1,1,1,1,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_sorethroat,radio,Sore throat,"1, Yes | 0, No | 99, Unknown",,,,,,Respiratory,"Defined as an unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) and perceived to originate in the throat.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"267102003, Sore throat","C3854544, Sore throat",,clinical_features,1,,1,1,1,1,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_rhinorrhoe,radio,Runny nose / rhinorrhoea,"1, Yes | 0, No | 99, Unknown",,,,,,Respiratory,Defined as increased mucosal discharge of the nose.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"64531003, Nasal Discharge","C1260880, Rhinorrhea",,clinical_features,1,,,1,1,1,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_wheezing,radio,Wheezing,"1, Yes | 0, No | 99, Unknown",,,,,,Respiratory,Defined as a high-pitched breath sound resulting from a narrowing or obstruction of the small airway.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"56018004, Wheezing","C0043144, Wheezing",,clinical_features,1,,,1,1,1,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_shortbreat,radio,Shortness of breath ,"1, Yes | 0, No | 99, Unknown",,,,,,Respiratory,Defined as the uncomfortable sensation of difficult or laboured breathing that is out of proportion to the patient's level of physical activity.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"267036007, Dyspn","C4230442, Dyspnea",,clinical_features,1,1,1,1,1,1,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_nasalcongestion,radio,Nasal congestion,"1, Yes | 0, No | 99, Unknown",,,,,,Respiratory,Defined as reduced ability to pass air through the nasal cavity often leading to mouth breathing. ,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,clinical_features,,,,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_chestpain,radio,Chest pain,"1, Yes | 0, No | 99, Unknown",,,,,,Respiratory,"Defined as the unpleasant, uncomfortable or painful sensation characterised by physical discomfort localised to the chest.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"29857009, Chest pain","C3807341, Chest pain",,clinical_features,1,,1,1,1,1,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_cvs,descriptive,Cardiovascular symptoms,,,,,,,Cardiovascular,This refers to signs and symptoms relating to the cardiovascular system.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,clinical_features,,,,1,1,1,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_palpitations,radio,Palpitations,"1, Yes | 0, No | 99, Unknown",,,,,,Cardiovascular,Refers to the unpleasant awareness of one's own heartbeat.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"80313002, Palpitations (finding)",,,clinical_features,,,,1,1,1,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_git,descriptive,Gastrointestinal symptoms,,,,,,,Gastrointestinal,This refers to signs and symptoms relating to the gastrointestinal system.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,clinical_features,1,1,1,1,1,1,1,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_abdpain,radio,Abdominal pain,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,"Defined as an unpleasant sensation of discomfort, distress or agony in the abdominal region.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"21522001, Abdominal pain","C3553274, Abdominal pain",,clinical_features,1,1,1,1,1,1,1,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_diarrhoea,radio,Diarrhoea,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,Defined as abnormally increased frequency (usually defined as three or more) loose or liquid bowel movement per day (or more frequent passage than is normal for the individual).,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"62315008, Diarrhea","C3554472, Diarrhea",,clinical_features,1,1,1,1,1,1,1,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_consti,radio,Constipation,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,Defined as irregular and infrequent or difficult evacuation of the bowels.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"14760008, Constipation","C3551741, Constipation",,clinical_features,,,1,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_vomit,radio,Vomiting,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,Defined as the expulsion of the stomach or small intestines through the mouth.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"422400008, Vomiting","C4230730, Vomiting",,clinical_features,1,1,1,1,1,1,1,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_vomit2d,radio,Persistent vomiting? (>=2/day),"1, Yes | 0, No | 99, Unknown",,,,,[adsym_vomit]='1',Gastrointestinal,"This refers to persistent vomiting, defined here as vomiting two times or more per day.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"196746003, Persistent vomiting","C0152165, Persistent vomiting",,clinical_features,1,1,1,1,1,1,1,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_vomitbld,radio,Haematemesis (vomiting blood),"1, Yes | 0, No | 99, Unknown",,,,,[adsym_vomit]='1',Gastrointestinal,This refers to vomiting of blood.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,,,,,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_nausea,radio,Nausea,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,Defined as the the unpleasant painless subjective feeling that one will imminently vomit.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"422587007, Nausea","C3554470, Nausea",,clinical_features,1,,1,1,1,1,1,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_anorexia,radio,Anorexia,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,Defined as lack or loss of appetite.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"79890006, Loss of appetite","C3554473, Anorexia",,clinical_features,1,1,,1,1,1,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_exsal,radio,Excessive salivation,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,"Defined as excessive salivation or sialorrhea, is a symptom best assessed by the patient.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,53827007 | Excessive salivation (disorder) |,"C0037036, Sialorrhea",,clinical_features,,,1,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_diffswallow,radio,Difficulty swallowing (dysphagia),"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,"Defined as difficulty swallowing food, liquids, or saliva.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"40739000, Dysphagia (disorder)","C0011168, Deglutition Disorders",,clinical_features,,,1,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_faecalincont,radio,Faecal incontinence,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,"Defined as failure of voluntary control of the anal sphincters, with involuntary passage of feces and flatus.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,clinical_features,,,,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_feedingdiff,radio,Feeding difficulty,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,"Defined as impaired ability to eat related to problems gathering food and getting ready to suck, chew, or swallow it.","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,clinical_features,,,,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_renalgut,descriptive,Renal / Genitourinary symptoms,,,,,,,Genitourinary,This refers to signs and symptoms relating to the renal / genitourinary system.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,clinical_features,,,1,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_urine,radio,Urinary retention,"1, Yes | 0, No | 99, Unknown",,,,,,Genitourinary,Defined as the accumulation of urine within the bladder because of the inability to urinate.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"267064002, Retention of urine","C0080274, Urinary retention",,clinical_features,,,1,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_urineincont,radio,Urinary incontinence,"1, Yes | 0, No | 99, Unknown",,,,,,Genitourinary,"This refers to loss of bladder control, or being unable to control urination. ","Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,clinical_features,,,,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_polyuria,radio,Increased urination (polyuria),"1, Yes | 0, No | 99, Unknown",,,,,,Genitourinary,This refers to excessive or frequent urination.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,clinical_features,,,,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_dysuria,radio,Pain during urination (dysuria),"1, Yes | 0, No | 99, Unknown",,,,,,Genitourinary,This refers to painful or difficult urination. ,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,clinical_features,,,,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_dyspareunia,radio,Painful intercourse (dyspareunia),"1, Yes | 0, No | 99, Unknown",,,,,,Genitourinary,Defined as recurrent or persistent genital pain associated with sexual intercourse.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",SNOMED,"71315007, Dyspareunia (finding)","C1384606, Dyspareunia",,clinical_features,,,1,1,,,,
presentation,SYMPTOMS ON ADMISSION: Indicate if experienced at any time from onset of this illness to the day of presentation.,adsym_heme,descriptive,Haematological symptoms,,,,,,,Haematology,This refers to signs and symptoms relating to the haematological system.,"Indicate 'Yes', if the patient has experienced this at any time from onset of this illness to presentation. ",,,,,clinical_features,1,1,1,1,1,1,1,
