Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,Identifier,Research Category,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox Pregnancy and Paediatric,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Syndromic CRF_VHF,preset_Score_CharlsonCI,preset_Score_mSOFA,preset_Score_mSOFA_Dengue,preset_Recommended Outcomes_Dengue,preset_Populations_Paediatric,preset_Populations_Pregnancy
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_steroid_type,multi_list,Corticosteroid,,,,,drugs_Steroids,[drug14_steroid]='1',,"Corticosteroids (commonly referred to as 'steroids') refers to all types of therapeutic corticosteroid, made in the adrenal cortex (the outer part of the adrenal gland). They are also made in the laboratory. Examples include: prednisolone, prednisone, methyl-prednisolone, dexamethasone, hydrocortisone, fluticasone, betametasone. Topical preparations are not included, but inhaled preparations are included.",Select the corticosteroids(s) prescribed or taken by the patient in the 14 days prior to this most recent admission / presentation,SNOMED,"788326005, Product containing adrenal cortex hormone (product)|","CL554601, Therapeutic corticosteroid",,,1,1,1,1,1,1,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_steroid_route,checkbox,Corticosteroid administration route,"1, Oral | 2, Inhaled | 3, IV | 99, Unknown",,,,,[drug14_steroid]='1',,"This refers to the part of the body through which or into which, or the way in which, the medicinal product (drug) is introduced. Oral refers to administering by mouth. Inhaled refers to administration through the respiratory route (insufflation into the respiratory tract). IV (intravenous) refers to administering into bloodstream through injection into a vein. Topical refers to administration by application of drug preparations to the surfaces of the body, especially the skin or mucous membranes.",Indicate the route of administration for the corticosteroid.,SNOMED,"386359008, Administration of drug or medicament via oral route (procedure) | 243132000, Inhaled drug administration (procedure) | 386358000, Administration of drug or medicament via intravenous route (procedure) | 431695009, Administration of drug or medicament to skin via topical route (procedure)",,,,1,1,1,1,1,1,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_steroid_date,date_dmy,Corticoteroid start date,,date_dmy,,today,,[drug14_steroid]='1',,This refers to the date the medication was started / first dose was administered. ,"Enter the date when the medication was started / first dose was given. If the precise date is unknown, enter an estimate. (Use the format DD/MM/YYYY)",,,,,,1,1,,1,1,1,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_steroid_day,text,Number of days corticosteroid taken,,number,0,,,[drug14_steroid]='1',,Includes all calendar days in which a dose was received or instructed to take on discharge prescription.,Enter the total number of days for which a dose was received or instructed to take on discharge prescription.,,,,,,1,1,,1,1,1,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_steroid_dose,text,Dose of corticosteroid,,number,0,,,[drug14_steroid]='1',,This refers to the dose of the corticosteroid agent.,Indicate the dose of the corticosteroid agent.,,,,,,,,,,,1,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_immunusupp,radio,Immunosuppressant agents (not corticosteroids),"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to a patient who is known to have taken prescribed medications that are known to have an immunosuppressing effect (excluding steroids/corticosteroids). Topical preparations should not be recorded.,"Indicate 'Yes', if the patient has taken an immunosuppressant agent in the 14 days prior to this most recent admission / presentation",SNOMED,"69431002, Medicinal product acting as immunosuppressant (product)|","CL942512, Immunosuppressant agent",,risk_factor_comor,1,1,1,1,1,1,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_immunusupp_type,multi_list,Immunosuppressant agents (not corticosteroids),,,,,drugs_Immunosuppressants,[drug14_immunusupp]='1',,This refers to a patient who is known to have taken prescribed medications that are known to have an immunosuppressing effect (excluding steroids/corticosteroids). Topical preparations should not be recorded.,Select the immunosuppressant(s) prescribed or taken by the patient in the 14 days prior to this most recent admission / presentation,SNOMED,"69431002, Medicinal product acting as immunosuppressant (product)|","CL942512, Immunosuppressant agent",,risk_factor_comor,1,1,1,1,1,1,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_antibiotic,radio,Antibiotics,"1, Yes | 0, No | 99, Unknown",,,,,,,Antibiotics refers to any agent(s) that selectively target bacteria.  Topical preparations should not be recorded.,"Indicate 'Yes', if the patient has taken an antibiotic in the 14 days prior to this most recent admission / presentation",SNOMED,"346325008, Medicinal product acting as antibacterial agent (product)|","C0279516, Antibacterial",,,1,1,1,1,1,1,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_antibiotic_type,multi_list,Antibiotics,,,,,drugs_Antibiotics,[drug14_antibiotic]='1',,Antibiotics refers to any agent(s) that selectively target bacteria.  Topical preparations should not be recorded.,Select the antibiotic(s) prescribed or taken by the patient in the 14 days prior to this most recent admission / presentation,SNOMED,"346325008, Medicinal product acting as antibacterial agent (product)|","C0279516, Antibacterial",,,1,1,1,1,1,1,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_nsaid,radio,NSAIDs,"1, Yes | 0, No | 99, Unknown",,,,,,,"Non-steroidal anti-inflammatory drugs or NSAIDS refers to any agent that is not a corticosteroid and has potential anti-inflammatory, analgesic, antipyretic and anti-platelet activities. Most nonsteroidal anti-inflammatory drugs (NSAIDs) act by inhibiting the conversion of arachidonic acid to the precursors of prostaglandin and thromboxane by cyclooxygenase enzymes. Topical preparations should not be recorded.","Indicate 'Yes', if the patient has taken an NSAID in the 14 days prior to this most recent admission / presentation",,16403005 |Non-steroidal anti-inflammatory agent (product)|,"C0003211, Nonsteroidal Antiinflammatory Drug",,,,1,1,,,1,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_nsaid_type,multi_list,NSAIDs,,,,,drugs_nsaids,[drug14_nsaid]='1',,"Non-steroidal anti-inflammatory drugs or NSAIDS refers to any agent that is not a corticosteroid and has potential anti-inflammatory, analgesic, antipyretic and anti-platelet activities. Most nonsteroidal anti-inflammatory drugs (NSAIDs) act by inhibiting the conversion of arachidonic acid to the precursors of prostaglandin and thromboxane by cyclooxygenase enzymes. Topical preparations should not be recorded.","Indicate 'Yes', if the patient has taken an NSAID in the 14 days prior to this most recent admission / presentation",,16403005 |Non-steroidal anti-inflammatory agent (product)|,"C0003211, Nonsteroidal Antiinflammatory Drug",,,,1,1,,,1,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_anticoagul,radio,Anticoagulant,"1, Yes | 0, No | 99, Unknown",,,,,,,"An anticoagulant refers to any agent capable of preventing blood clot formation, or platelet aggregation. This includes agents such as heparin, warfarin, aspirin, clopidogrel, and subcutaneously administered anticoagulants, among many others. Topical preparations are not included.","Indicate 'Yes', if the patient has taken an anticoagulant in the 7 days prior to this most recent admission / presentation.",SNOMED,81839001 |Medicinal product acting as anticoagulant agent (product)|,"C0003280, Anticoagulant agent",,,,,1,,,,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_anticoagul_type,multi_list,Anticoagulant,,,,,drugs_Anticoagulant,[drug14_anticoagul]='1',,"An anticoagulant refers to any agent capable of preventing blood clot formation, or platelet aggregation. This includes agents such as heparin, warfarin, aspirin, clopidogrel, and subcutaneously administered anticoagulants, among many others. Topical preparations are not included.",Select the analgesic(s) prescribed or taken by the patient in the 14 days prior to this most recent admission / presentation,SNOMED,81839001 |Medicinal product acting as anticoagulant agent (product)|,"C0003280, Anticoagulant agent",,,,,1,,,,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_ivfluid,radio,Intravenous (parenteral) fluids,"1, Yes | 0, No | 99, Unknown",,,,,,,"Intravenous (IV) or parenteral fluids are prescribed as a replacement of fluid, electrolytes, calories, vitamins, and other nutritional substances. Intravenous fluids may be used for rehydration, maintenance requirements or resuscitation.",Indicate 'Yes' if the patient received intravenous fluids in the 7 days prior to this most recent admission / presentation.,SNOMED,354078009 |Intravenous fluids and electrolytes (product)|,"CL524079, IV fluid",,,,,1,,,,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_ivfluid_type,multi_list,Intravenous fluid type,,,,,drugs_IVfluids,[drug14_ivfluid] = '1',,"This refers to the type of parenteral or intravenous (IV) fluid is prescribed as a replacement of fluid, electrolytes, calories, vitamins, and other nutritional substances. Intravenous fluids may be crystalloids (commonly including 0.9% Sodium Chloride (Normal Saline), Lactated Ringer(USP), 0.45% Sodium Chloride (Half-normal saline), 0.45% normal saline + 4% Glucose (Half-normal saline with dextrose), 0.18%-0.3% Sodium Chloride + 4% Glucose (Hypotonic saline with dextrose), 5% Glucose (Dextrose 5% in Water), Ringeracetate or Plasmalyte) or colloids (commonly including gelatins, starches or albumin). ",Select the intravenous fluid(s) prescribed or taken by the patient in the 14 days prior to this most recent admission / presentation,SNOMED,,,,,,,1,,,,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_ivfluid_vol,number,Total intravenous fluid volume in the previous 24 hours (mL),,number,0,3000,,[drug14_ivfluid] = '1',,"Parenteral or intravenous (IV) fluid is prescribed as a replacement of fluid, electrolytes, calories, vitamins, and other nutritional substances. Intravenous fluids (crystalloids and colloids) may be used for rehydration, maintenance requirements or resuscitation.",Specify the total volume of the intravenous fluids (crystalloids and colloids) received by the patient over the previous 24 hours. Record the volume in millilitres (mL).,,,,,,,,1,,,,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_ivfluid_reas,checkbox,Indication / reason,"1, Shock | 2, High/rising haematocrit | 3, Anorexia | 4, Persistent vomiting | 88, Other",,,,,[drug14_ivfluid] = '1',,"This refers to the indication for intravenous fluids. Shock refers to circulatory failure, causing inadequate oxygen delivery to meet cellular metabolic needs. It is characterised by any two of the following: evidence of hypoperfusion (e.g. slow capillary refill, cold skin, and rapid and weak pulse), narrow pulse pressure (less than or equal to 20mmHg), hypotension for age, and tachycardia.",Indicate the indication for intravenous fluids.,SNOMED,"27942005, Shock (disorder)","C0036974, Shock",,,,,1,,,,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_ivfluid_reas_oth,text,Specify other reason,,,,,,[drug14_ivfluid_reas(88)]='1',,"This refers to the indication for intravenous fluids. Shock refers to circulatory failure, causing inadequate oxygen delivery to meet cellular metabolic needs. It is characterised by any two of the following: evidence of hypoperfusion (e.g. slow capillary refill, cold skin, and rapid and weak pulse), narrow pulse pressure (less than or equal to 20mmHg), hypotension for age, and tachycardia.","If 'Other', write the indication for intravenous fluids.",,,,,,,,,,,,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_antihypertensive,radio,Antihypertensives,"1, Yes | 0, No | 99, Unknown",,,,,,,"This refers to any substance used in the treatment of acute or chronic hypertension regardless of pharmacological mechanism. Examples include: ACE Inhibitors (Lisinopril (Zestril), Enalapril (Vasotec), Ramipril (Altace), Captopril); Angiotensin Receptor Blockers ((Losartan (Cozaar), Valsartan (Diovan), Irbesartan (Avapro), Olmesartan (Benicar)); Beta-Blockers (Metoprolol (Lopressor), Carvedilol (Coreg), Bisoprolol, Atenolol); Calcium Channel Blockers (Amlodipine (Norvasc), Diltiazem (Cardizem), Verapamil); Diuretics (Furosemide (Lasix), Spironolactone (Aldactone), Hydrochlorothiazide (HCTZ))","Indicate 'Yes', if the patient has taken this medication in the 14 days prior to this most recent admission / presentation",SNOMED,"372586001, Hypotensive agent (substance)",,,,,,,,,1,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_antidiabetic,radio,Antidiabetic medications,"1, Yes | 0, No | 99, Unknown",,,,,,,"This refers to any substance used to reduce hyperglycemia or treat disorders associated with diabetes. Examples include: Metformin (Glucophage); SGLT2 Inhibitors (Empagliflozin (Jardiance), Dapagliflozin (Farxiga), Canagliflozin (Invokana)); DPP-4 Inhibitors (Sitagliptin (Januvia), Linagliptin (Tradjenta), Saxagliptin (Onglyza)); GLP-1 Receptor Agonists (Liraglutide (Victoza), Semaglutide (Ozempic), Dulaglutide (Trulicity)); Insulins (Glargine (Lantus), Aspart (NovoLog), Lispro (Humalog), Detemir (Levemir))","Indicate 'Yes', if the patient has taken this medication in the 14 days prior to this most recent admission / presentation",,,,,,,,,,,1,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_lipidlowering,radio,Lipid-lowering drugs,"1, Yes | 0, No | 99, Unknown",,,,,,,"This refers to any substance used to lower the levels of certain lipids in the blood in the treatment of hyperlipidaemias. Examples include: Statins (Atorvastatin (Lipitor), Rosuvastatin (Crestor), Simvastatin (Zocor), Pravastatin (Pravachol)); Ezetimibe (Zetia)","Indicate 'Yes', if the patient has taken this medication in the 14 days prior to this most recent admission / presentation",SNOMED,"373267003, Antilipemic agent (substance)",,,,,,,,,1,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_antireflux,radio,Anti-reflux or other GI medications,"1, Yes | 0, No | 99, Unknown",,,,,,,"This refers to any substance used in the treatment gastric reflux by preventing the backward flow of stomach acid contents into the esophagus, or other drugs taken for ailments of the gastrointestinal system. Examples include: Proton Pump Inhibitors (Omeprazole (Prilosec), Pantoprazole (Protonix), Esomeprazole (Nexium), Lansoprazole (Prevacid)); H2-Receptor Antagonists (Ranitidine (Zantac), Famotidine (Pepcid))","Indicate 'Yes', if the patient has taken this medication in the 14 days prior to this most recent admission / presentation",,,,,,,,,,,1,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_antidepress,radio,Antidepressants and Anxiolytics,"1, Yes | 0, No | 99, Unknown",,,,,,,"Antidepressants refers to mood-stimulating drugs used primarily in the treatment of affective disorders and related conditions. Anxiolytics refers to drugs used to treat anxiety disorders. Examples include: Selective Serotonin Reuptake Inhibitors (Sertraline (Zoloft), Citalopram (Celexa), Fluoxetine (Prozac), Escitalopram (Lexapro)); Serotonin-Norepinephrine Reuptake Inhibitors (Venlafaxine (Effexor), Duloxetine (Cymbalta)); Benzodiazepines (Lorazepam (Ativan), Diazepam (Valium), Alprazolam (Xanax))","Indicate 'Yes', if the patient has taken this medication in the 14 days prior to this most recent admission / presentation",SNOMED,"372720008, Antidepressant (substance)",,,,,,,,,1,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_antiepileptic,radio,Antiepileptics,"1, Yes | 0, No | 99, Unknown",,,,,,,"This refers to any substance used stop, prevent, or control seizures (convulsions). Examples include: Levetiracetam (Keppra), Valproate (Depakote), Carbamazepine (Tegretol), Lamotrigine (Lamictal).","Indicate 'Yes', if the patient has taken this medication in the 14 days prior to this most recent admission / presentation",,,,,,,,,,,1,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_herb,radio,Herbal or traditional treatment,"1, Yes | 0, No | 99, Unknown",,,,,,,"Herbal or traditional treatment refers to herbs, herbal materials, herbal preparations and finished herbal products, that contain as active ingredients parts of plants, and other knowledge, skills, and practices based on the theories, beliefs, and experiences indigenous to different cultures that are used to treat physical or mental illness.","Indicate 'Yes', if the patient has taken a 'Herbal or traditional treatment in the 14 days prior to this most recent admission / presentation",SNOMED,"349365008,  Herbal medicine (product)","C2240391, Herbal medicine (product)",,,,,,1,1,,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_herbreas,text,Specify active ingredient in herbal or traditional treatment,,,,,,[drug14_herb]='1',,This refers to the pharmaceutically active component(s) of a preparation of herbal or traditional medication(s).,"If 'Yes', specify the pharmaceutically active component(s) of a preparation of herbal or traditional medication(s).",,,,,,,,,1,1,,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_hivprep,radio,HIV PrEP / PEP,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to pre-exposure prophylaxis (PrEP) and post-exposure prophylaxis (PEP) to prevent HIV.,"Indicate 'Yes', if the patient received anti-retroviral therapy, for the purposes of PrEP and PEP to prevent HIV, in the 14 days prior to this most recent admission / presentation.",SNOMED,"1287783000, Administration of human immunodeficiency virus pre-exposure prophylaxis (procedure) | 235921000112100, Administration of human immunodeficiency virus post-exposure prophylaxis (procedure)",,,,,,,1,1,,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_chemo,radio,Cancer chemotherapy,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to a history of exposure to cancer chemotherapy in the 14 days prior to this most recent admission / presentation.,Indicate 'Yes' if the patients has a history of exposure to cancer chemotherapy in the 14 days prior to this most recent admission / presentation.,,,,,,,,,,,,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_unlisted,radio,Other pathogen-targeted medications,"1, Yes | 0, No | 99, Unknown",,,,,,,"This refers to other pathogen-targeted medication, not listed above.","Indicate 'Yes', if pathogen-targeted medications (other than those specified above) have been taken in the 14 days prior to this most recent admission / presentation.",,,,,,1,,1,1,1,1,,,,,,,
presentation,MEDICATION PRIOR TO THIS ADMISSION / PRESENTATION,drug14_unlisted_type,user_list,Specify other pathogen-targeted medications,,,,,drugs_Other,[drug14_unlisted]='1',,"This refers to other pathogen-targeted medication, not listed above.","Indicate 'Yes', if pathogen-targeted medications (other than those specified above) have been taken in the 14 days prior to this most recent admission / presentation.",,,,,,1,,1,1,1,1,,,,,,,
presentation,VACCINATION,vacci_covid19,radio,Vaccinated for COVID-19 (ever),"1, Yes | 0, No | 99, Unknown",,,,,,,"Ever received a vaccine targeted against SARS-Cov-2. Examples include Spikevax (Moderna), Comirnaty (Pfizer/BioNTech), Nuvaxovid (Novavax), Vaxzevria (AstraZeneca/Oxford), Janssen COVID-19 Vaccine (Johnson & Johnson), Valneva (Valneva).","Indicate 'Yes', if the patient has ever received a vaccine targetted against SARS-Cov-2",,,,,risk_factor_comor,1,,,,,1,,,,,,,
presentation,VACCINATION,vacci_covid19_date1,date_dmy,Date of first COVID-19 vaccine ,,date_dmy,,today,,[vacci_covid19] = '1',,"This refers to the date on which the first dose of COVID-19 vaccine was received in the format DD/MM/YYYY.  If precise date unknown, estimate.  ","Enter the date of first COVID-19 vaccine. If the precise date is unknown, enter an estimate. (Use the format DD/MM/YYYY)",,,,,,1,,,,,,,,,,,,
presentation,VACCINATION,vacci_covid19_type1,radio,Type of first COVID-19 vaccine ,"1, Pfizer/BioNTech | 2, AstraZeneca/University of Oxford (Covishield in India) | 3, Moderna | 4, Novavax |5, Janssen (Johnson & Johnson) | 6, Sinopharm | 7, Sinovac | 8, Sputnik V | 9, Covaxin | 10, CanSinoBIO | 99, Unknown | 0, Other, please specify",,,,,[vacci_covid19] = '1',,Refers to the type of the first COVID-19 vaccine the patient received.,Select the type of first COVID-19 vaccine.,,,,,,1,,,,,,,,,,,,
presentation,VACCINATION,vacci_covid19_type1_oth,text,Specify other type of COVID-19 vaccine,,,,,,[vacci_covid19_type1] = '0',,Refers to the type of the first COVID-19 vaccine the patient received.,"If 'Other', specify the type of COVID-19 vaccine.",,,,,,1,,,,,,,,,,,,
presentation,VACCINATION,vacci_covid19_date2,date_dmy,Date of second COVID-19 vaccine ,,date_dmy,,today,,[vacci_covid19] = '1',,"This refers to the date on which the second dose of COVID-19 vaccine was received in the format DD/MM/YYYY. If precise date unknown, estimate.  ","Enter the date of second COVID-19 vaccine. If the precise date is unknown, enter an estimate. (Use the format DD/MM/YYYY)",,,,,,1,,,,,,,,,,,,
presentation,VACCINATION,vacci_covid19_type2,radio,Type of second COVID-19 vaccine ,"1, Pfizer/BioNTech | 2, AstraZeneca/University of Oxford (Covishield in India) | 3, Moderna | 4, Novavax |5, Janssen (Johnson & Johnson) | 6, Sinopharm | 7, Sinovac | 8, Sputnik V | 9, Covaxin | 10, CanSinoBIO | 99, Unknown | 0, Other, please specify",,,,,[vacci_covid19] = '1',,Refers to the type of the second COVID-19 vaccine the patient received.,Select the type of second COVID-19 vaccine.,,,,,,1,,,,,,,,,,,,
presentation,VACCINATION,vacci_covid19_type2_oth,text,Specify other type of COVID-19 vaccine,,,,,,[vacci_covid19_type2] = '0',,Refers to the type of the second COVID-19 vaccine the patient received.,"If 'Other', specify the type of COVID-19 vaccine.",,,,,,1,,,,,,,,,,,,
presentation,VACCINATION,vacci_covid19_date3,date_dmy,Date of third COVID-19 vaccine ,,date_dmy,,today,,[vacci_covid19] = '1',,"This refers to the date on which the third dose of COVID-19 vaccine was received in the format DD/MM/YYYY. If precise date unknown, estimate.  ","Enter the date of third COVID-19 vaccine. If the precise date is unknown, enter an estimate. (Use the format DD/MM/YYYY)",,,,,,1,,,,,,,,,,,,
presentation,VACCINATION,vacci_covid19_type3,radio,Type of third COVID-19 vaccine ,"1, Pfizer/BioNTech | 2, AstraZeneca/University of Oxford (Covishield in India) | 3, Moderna | 4, Novavax |5, Janssen (Johnson & Johnson) | 6, Sinopharm | 7, Sinovac | 8, Sputnik V | 9, Covaxin | 10, CanSinoBIO | 99, Unknown | 0, Other, please specify",,,,,[vacci_covid19] = '1',,Refers to the type of the third COVID-19 vaccine the patient received.,Select the type of third COVID-19 vaccine.,,,,,,1,,,,,,,,,,,,
presentation,VACCINATION,vacci_covid19_type3_oth,text,Specify other type of COVID-19 vaccine,,,,,,[vacci_covid19_type3] = '0',,Refers to the type of the third COVID-19 vaccine the patient received.,"If 'Other', specify the type of COVID-19 vaccine.",,,,,,1,,,,,,,,,,,,
presentation,VACCINATION,vacci_covid19_lastdate,date_dmy,Date of most recent COVID-19 vaccine ,,date_dmy,,today,,[vacci_covid19] = '1',,"This refers to the date on which the most recent COVID-19 vaccine was received in the format DD/MM/YYYY. If precise date unknown, estimate.  ","Enter the date of most recent COVID-19 vaccine. If the precise date is unknown, enter an estimate. (Use the format DD/MM/YYYY)",,,,,,1,,,,,1,,,,,,,
presentation,VACCINATION,vacci_covid19_lasttype,radio,Type of most recent COVID-19 vaccine ,"1, Pfizer/BioNTech | 2, AstraZeneca/University of Oxford (Covishield in India) | 3, Moderna | 4, Novavax |5, Janssen (Johnson & Johnson) | 6, Sinopharm | 7, Sinovac | 8, Sputnik V | 9, Covaxin | 10, CanSinoBIO | 99, Unknown | 88, Other",,,,,[vacci_covid19] = '1',,Refers to the type of the most recent COVID-19 vaccine the patient received.,Select the type of most recent COVID-19 vaccine.,,,,,,1,,,,,1,,,,,,,
presentation,VACCINATION,vacci_covid19_lasttype_oth,text,Specify other type of COVID-19 vaccine,,,,,,[vacci_covid19_lasttype] = '88',,Refers to the type of the most recent COVID-19 vaccine the patient received.,"If 'Other', specify the type of COVID-19 vaccine.",,,,,,1,,,,,1,,,,,,,
presentation,VACCINATION,vacci_influenza,radio,Vaccinated for seasonal influenza (ever),"1, Yes | 0, No | 99, Unknown",,,,,,,Ever received a vaccine targeting seasonal influenza.,"Indicate 'Yes', if the patient has ever received a seasonal influenza vaccine.",,,,,risk_factor_comor,1,1,,,,1,,,,,,,
presentation,VACCINATION,vacci_influenza_date,date_dmy,Date of most recent seasonal influenza vaccine,,date_dmy,,today,,[vacci_influenza] = '1',,This refers to the date of the most recent seasonal influenza vaccine,"Enter the date of most recent seasonal influenza vaccine. If the precise date is unknown, enter an estimate. (Use the format DD/MM/YYYY)",,,,,risk_factor_comor,1,1,,,,1,,,,,,,
presentation,VACCINATION,vacci_influenza_type,radio,Type of last influenza vaccine,"1, Inactivated Influenza Vaccine (IIV) | 2, Live Attenuated Influenza Vaccine (LAIV) | 3, Recombinant Influenza Vaccine (RIV) | 4, Cell-Based Influenza Vaccine (ccIIV) | 5, Egg-Based Influenza Vaccine | 6, mRNA-Based Influenza Vaccines (Emerging Technology) | 99, Unknown | 88, Other",,,,,[vacci_influenza] = '1',,This refers to the type of the most recent seasonal influenza vaccine,Select the most appropriate option which represents the type of most recent seasonal influenza vaccine.,,,,,,,,,,,1,,,,,,,
presentation,VACCINATION,vacci_influenza_type_oth,text,Specify type of Influenza vaccine,,,,,,[vacci_influenza_type] = '88',,This refers to the type of the most recent seasonal influenza vaccine,"If 'Other', specify the type of most recent seasonal infuenza vaccine.",,,,,,,,,,,1,,,,,,,
presentation,VACCINATION,vacci_aviinflu,radio,Vaccinated for avian influenza ,"1, Yes | 0, No | 99, Unknown",,,,,,,Ever received a vaccine targeting avian influenza.,"Indicate 'Yes', if the patient has ever received an avian influenza vaccine.",,,,,risk_factor_comor,1,1,,,,1,,,,,,,
presentation,VACCINATION,vacci_aviinflu_date,date_dmy,Date of most recent avian influenza vaccine,,date_dmy,,today,,[vacci_aviinflu] = '1',,This refers to the date of the most recent avian influenza vaccine,"Enter the date of most recent avian influenza vaccine. If the precise date is unknown, enter an estimate. (Use the format DD/MM/YYYY)",,,,,risk_factor_comor,1,1,,,,1,,,,,,,
presentation,VACCINATION,vacci_aviinflu_type,radio,Type of most recent avian influenza vaccine,"1, Quadrivalent, recombinant | 2, Quadrivalent, adjuvanted inactivated | 3, Quadrivalent, high dose | 4, Quadrivalent, cell-based | 5, Influenza Tetra MYL | 6, Trivalent, recombinant | 7, Trivalent, high dose | 8, Trivalent, adjuvant inactivated | 9, Trivalent, intranasal | 10, H5N1 (Audenz, Aflunov) | 99, Unknown | 88, Other",,,,,[vacci_aviinflu] = '1',,This refers to the type of the most recent avian influenza vaccine,Select the most appropriate option which represents the type of most recent avian influenza vaccine.,,,,,,,,,,,1,,,,,,,
presentation,VACCINATION,vacci_aviinflu_type_oth,text,Specify type of avian Influenza vaccine,,,,,,[vacci_aviinflu_type]='88',,This refers to the type of the most recent avian influenza vaccine,"If 'Other', specify the type of most recent avian infuenza vaccine.",,,,,,,,,,,1,,,,,,,
presentation,VACCINATION,vacci_rsv,radio,Vaccinated for Respiratory Syncytial Virus (RSV),"1, Yes | 0, No | 99, Unknown",,,,,,,Ever received a vaccine targeting Respiratory Syncytial Virus.,"Indicate 'Yes', if the patient has ever received a RSV vaccine.",,,,,risk_factor_comor,1,1,,,,1,,,,,,,
presentation,VACCINATION,vacci_rsv_date,date_dmy,Date of most recent Respiratory Syncytial Virus (RSV) vaccine,,date_dmy,,today,,[vacci_rsv] = '1',,This refers to the date of the most recent avian influenza vaccine,"Enter the date of most recent RSV vaccine. If the precise date is unknown, enter an estimate. (Use the format DD/MM/YYYY)",,,,,risk_factor_comor,1,1,,,,1,,,,,,,
presentation,VACCINATION,vacci_rsv_type,radio,Type of most recent Respiratory Syncytial Virus (RSV) vaccine,"1,  Abrysvo (Pfizer) | 2,  Arexvy (GlaxoSmithKline) | 3, mResvia (Moderna)  | 99, Unknown | 88, Other",,,,,[vacci_rsv] = '1',,This refers to the type of the most recent Respiratory Syncytial Virus (RSV) influenza vaccine,Select the most appropriate option which represents the type of most recent Respiratory Syncytial Virus (RSV) influenza vaccine.,,,,,,,,,,,1,,,,,,,
presentation,VACCINATION,vacci_rsv_type_oth,text,Specify type of Respiratory Syncytial Virus (RSV) vaccine,,,,,,[vacci_rsv_type]='88',,This refers to the type of the most recent Respiratory Syncytial Virus (RSV) influenza vaccine,"If 'Other', specify the type of most recent Respiratory Syncytial Virus (RSV) infuenza vaccine.",,,,,,,,,,,1,,,,,,,
