Variable,Question,Answer Options,Definition,Completion Guideline,Language Speaker Reviewed,Clinical Language Speaker Reviewed
drug14_nsaid,AINS,"1, Oui | 0, Non | 99, Inconnu","Les anti-inflammatoires non stéroïdiens (AINS) désignent tout agent qui n'est pas un corticostéroïde et qui possède des activités anti-inflammatoires, analgésiques, antipyrétiques et antiplaquettaires potentielles. La plupart des anti-inflammatoires non stéroïdiens (AINS) agissent en inhibant la conversion de l'acide arachidonique en précurseurs de la prostaglandine et de la thromboxane par les enzymes cyclooxygénases. Les préparations topiques ne doivent pas être enregistrées.",Indiquez « Oui » si le patient a pris un AINS au cours des 14 jours précédant cette dernière admission/présentation,,
drug14_nsaid_type,AINS,,"Les anti-inflammatoires non stéroïdiens (AINS) désignent tout agent qui n'est pas un corticostéroïde et qui possède des activités anti-inflammatoires, analgésiques, antipyrétiques et antiplaquettaires potentielles. La plupart des anti-inflammatoires non stéroïdiens (AINS) agissent en inhibant la conversion de l'acide arachidonique en précurseurs de la prostaglandine et de la thromboxane par les enzymes cyclooxygénases. Les préparations topiques ne doivent pas être enregistrées.",Indiquez « Oui » si le patient a pris un AINS au cours des 14 jours précédant cette dernière admission/présentation,,
drug14_herb,Traitement à base de plantes ou traditionnel,"1, Oui | 0, Non | 99, Inconnu","Le traitement à base de plantes ou traditionnel fait référence aux herbes, aux matières végétales, aux préparations à base de plantes et aux produits finis à base de plantes, qui contiennent comme ingrédients actifs des parties de plantes et d'autres connaissances, compétences et pratiques basées sur les théories, croyances et expériences propres à différentes cultures qui sont utilisées pour traiter les maladies physiques ou mentales.",Indiquez « Oui » si le patient a suivi un « traitement à base de plantes ou traditionnel » au cours des 14 jours précédant cette dernière admission/présentation.,,
drug14_herbreas,Si oui : précisez le principe actif du traitement à base de plantes ou traditionnel,,Il s’agit du ou des composants pharmaceutiquement actifs d’une préparation de médicaments à base de plantes ou traditionnels.,"Si « Oui », précisez le(s) composant(s) pharmaceutiquement actif(s) d’une préparation de médicament(s) à base de plantes ou traditionnel(aux).",,
drug14_hivprep,PrEP/PEP VIH,"1, Oui | 0, Non | 99, Inconnu",Il s’agit de la prophylaxie pré-exposition (PrEP) et de la prophylaxie post-exposition (PEP) pour prévenir le VIH.,"Indiquez « Oui » si le patient a reçu un traitement antirétroviral, à des fins de PrEP et de PEP pour prévenir le VIH, dans les 14 jours précédant cette dernière admission/présentation.",,
drug14_unlisted,Autres médicaments ciblant les agents pathogènes,"1, Oui | 0, Non | 99, Inconnu","Ceci fait référence à d’autres médicaments ciblant les agents pathogènes, non répertoriés ci-dessus.",Indiquez « Oui » si des médicaments ciblant les agents pathogènes (autres que ceux spécifiés ci-dessus) ont été pris au cours des 14 jours précédant cette admission/présentation la plus récente.,,
drug14_unlisted_type,Si oui : précisez les autres médicaments ciblant les agents pathogènes,,"Ceci fait référence à d’autres médicaments ciblant les agents pathogènes, non répertoriés ci-dessus.",Indiquez « Oui » si des médicaments ciblant les agents pathogènes (autres que ceux spécifiés ci-dessus) ont été pris au cours des 14 jours précédant cette admission/présentation la plus récente.,,
vacci_covid19,COVID 19,,,,,
vacci_covid19_yn,Vacciné contre la COVID-19 (auparavant),"1, Oui | 0, Non | 99, Inconnu","Avez-vous déjà reçu un vaccin ciblant le SARS-Cov-2 ? Parmi les exemples, citons Spikevax (Moderna), Comirnaty (Pfizer/BioNTech), Nuvaxovid (Novavax), Vaxzevria (AstraZeneca/Oxford), Janssen COVID-19 Vaccine (Johnson & Johnson), Valneva (Valneva).",Indiquez « Oui » si le patient a déjà reçu un vaccin ciblant le SARS-Cov-2,,
vacci_covid19_date1,Date du premier vaccin contre la COVID-19,,"Il s'agit de la date à laquelle la première dose du vaccin contre la COVID-19 a été reçue au format JJ/MM/AAAA. Si la date précise est inconnue, faites une estimation.","Écrivez la date de la première vaccination contre la COVID-19 au format JJ/MM/AAAA. Si la date précise est inconnue, estimez-la.",,
vacci_covid19_type1,Type de premier vaccin contre la COVID-19,"1, Pfizer/BioNTech | 2, AstraZeneca/Université d'Oxford (Covishield en Inde) | 3, Moderna | 4, Novavax | 5, Janssen (Johnson & Johnson) | 6, Sinopharm | 7, Sinovac | 8, Sputnik V | 9, Covaxin | 10, CanSinoBIO | 99, Inconnu | 0, Autre, veuillez préciser",Désigne le type du premier vaccin contre la COVID-19 que le patient a reçu.,Sélectionnez le type de premier vaccin contre la COVID-19.,,
vacci_covid19_type1other,Si autre : Précisez le type de vaccin contre la COVID-19,,Désigne le type du premier vaccin contre la COVID-19 que le patient a reçu.,Préciser si autre,,
vacci_covid19_date2,Date de la deuxième dose du vaccin contre la COVID-19,,"Il s'agit de la date à laquelle la deuxième dose du vaccin contre la COVID-19 a été reçue au format JJ/MM/AAAA. Si la date précise est inconnue, faites une estimation.","Écrivez la date de la deuxième injection du vaccin contre la COVID-19 au format JJ/MM/AAAA. Si la date précise est inconnue, faites une estimation.",,
vacci_covid19_type2,Type de deuxième vaccin contre la COVID-19,"1, Pfizer/BioNTech | 2, AstraZeneca/Université d'Oxford (Covishield en Inde) | 3, Moderna | 4, Novavax | 5, Janssen (Johnson & Johnson) | 6, Sinopharm | 7, Sinovac | 8, Sputnik V | 9, Covaxin | 10, CanSinoBIO | 99, Inconnu | 0, Autre, veuillez préciser",Désigne le type du deuxième vaccin contre la COVID-19 que le patient a reçu.,Sélectionnez le type de deuxième vaccin contre la COVID-19.,,
vacci_covid19_type2other,Si autre : Précisez le type de vaccin contre la COVID-19,,Désigne le type du deuxième vaccin contre la COVID-19 que le patient a reçu.,Préciser si autre,,
vacci_covid19_date3,Date de mise sur le marché du troisième vaccin contre la COVID-19,,"Il s'agit de la date à laquelle la troisième dose du vaccin contre la COVID-19 a été reçue au format JJ/MM/AAAA. Si la date précise est inconnue, faites une estimation.","Écrivez la date de la troisième dose du vaccin contre la COVID-19 au format JJ/MM/AAAA. Si la date précise est inconnue, faites une estimation.",,
vacci_covid19_type3,Type de troisième vaccin contre la COVID-19,"1, Pfizer/BioNTech | 2, AstraZeneca/Université d'Oxford (Covishield en Inde) | 3, Moderna | 4, Novavax | 5, Janssen (Johnson & Johnson) | 6, Sinopharm | 7, Sinovac | 8, Sputnik V | 9, Covaxin | 10, CanSinoBIO | 99, Inconnu | 0, Autre, veuillez préciser",Fait référence au type du troisième vaccin contre la COVID-19 que le patient a reçu.,Sélectionnez le type de troisième vaccin contre la COVID-19.,,
vacci_covid19_type3other,Si autre : Précisez le type de vaccin contre la COVID-19,,Fait référence au type du troisième vaccin contre la COVID-19 que le patient a reçu.,Préciser si autre,,
vacci_influenza_yn,Vacciné contre la grippe saisonnière (auparavant),"1, Oui | 0, Non | 99, Inconnu",Avez-vous déjà reçu un vaccin contre la grippe saisonnière?,Indiquez « Oui » si le patient a déjà reçu un vaccin contre la grippe saisonnière.,,
vacci_influenza_date,Si oui : Date de la dernière vaccination contre la grippe saisonnière,,Ceci fait référence à la date du vaccin contre la grippe saisonnière le plus récent,"Inscrivez la date de la dernière vaccination contre la grippe saisonnière au format JJ/MM/AAAA. Si la date précise est inconnue, estimez-la.",,
vacci_aviinflue_yn,Vacciné contre la grippe aviaire,"1, Oui | 0, Non | 99, Inconnu",Avez-vous déjà reçu un vaccin contre la grippe aviaire ?,Indiquez « Oui » si le patient a déjà reçu un vaccin contre la grippe aviaire.,,
vacci_aviinflue_date,Si oui : Date du vaccin le plus récent contre la grippe aviaire,,Ceci fait référence à la date du vaccin le plus récent contre la grippe aviaire,"Inscrivez la date de la dernière vaccination contre la grippe aviaire au format JJ/MM/AAAA. Si la date précise est inconnue, faites une estimation.",,
vacci_dengue,DENGUE,,Ce groupe de questions concerne les vaccinations antérieures contre la dengue.,,,
vacci_dengue_yn,Vacciné contre la dengue,"1, OUI-une fois | 2, OUI-deux fois | 3, OUI-trois fois | 0, Non | 99, Inconnu",Identifie si le patient a déjà reçu le vaccin contre la dengue avant cet épisode de maladie.,Sélectionnez l’option la plus appropriée qui indique si le patient a déjà reçu le vaccin contre la dengue avant cet épisode de maladie.,,
vacci_dengue_date1,Date du premier vaccin contre la dengue,,"Il s'agit de la date à laquelle la première dose du vaccin contre la dengue a été reçue au format JJ/MM/AAAA. Si la date précise est inconnue, faites une estimation.","Écrivez la date à laquelle la première dose du vaccin a été reçue au format JJ/MM/AAAA. Si la date précise est inconnue, estimez-la.",,
vacci_dengue_type1,Type de premier vaccin contre la dengue,"1, CYD-TVD (Dengvaxia) | 2, TAK-003 (QDENGA)",Désigne le type du premier vaccin contre la dengue reçu par le patient.,Sélectionnez l’option la plus appropriée qui représente le type de premier vaccin contre la dengue reçu par le patient.,,
vacci_dengue_date2,Date du deuxième vaccin contre la dengue,,"Il s'agit de la date à laquelle la deuxième dose du vaccin contre la dengue a été reçue au format JJ/MM/AAAA. Si la date précise est inconnue, faites une estimation.","Écrivez la date à laquelle la deuxième dose du vaccin a été reçue au format JJ/MM/AAAA. Si la date précise est inconnue, estimez-la.",,
vacci_dengue_type2,Type de deuxième vaccin contre la dengue,"1, CYD-TVD (Dengvaxia) | 2, TAK-003 (QDENGA)",Fait référence au type du deuxième vaccin contre la dengue que le patient a reçu.,Sélectionnez l’option la plus appropriée qui représente le type de deuxième vaccin contre la dengue reçu par le patient.,,
vacci_dengue_date3,Date du troisième vaccin contre la dengue,,"Il s'agit de la date à laquelle la troisième dose du vaccin contre la dengue a été reçue au format JJ/MM/AAAA. Si la date précise est inconnue, faites une estimation.","Écrivez la date à laquelle la troisième dose du vaccin a été reçue au format JJ/MM/AAAA. Si la date précise est inconnue, estimez-la.",,
vacci_dengue_type3,Type de troisième vaccin contre la dengue,"1, CYD-TVD (Dengvaxia) | 2, TAK-003 (QDENGA)",Fait référence au type de troisième vaccin contre la dengue que le patient a reçu.,Sélectionnez l’option la plus appropriée qui représente le type de troisième vaccin contre la dengue que le patient a reçu.,,
vacci_mpox,MPOX,,,,,
vacci_mpox_1980,Avez-vous reçu le vaccin contre la variole avant 1980 ?,"1, Oui | 0, Non | 99, Inconnu",Il s’agit d’une vaccination contre la variole reçue avant 1980 et donc sans rapport avec l’événement actuel.,Indiquez « Oui » si le patient a reçu un vaccin contre la variole avant 1980.,,
vacci_mpox_date,Si oui : Année de vaccination (estimation si incertaine),,Il s’agit d’une vaccination contre la variole reçue avant 1980 et donc sans rapport avec l’événement actuel.,Indiquez l'année au cours de laquelle le patient a reçu le vaccin antivariolique. Faites une estimation en cas d'incertitude. Notez que cette date ne doit pas dépasser 1980. Laissez la réponse vide si l'année est inconnue.,,
vacci_mpox_scar,"Si oui : une cicatrice de vaccination contre la variole est-elle visible (généralement sur la partie supérieure du bras, si elle est présente) ?","1, Oui | 0, Non | 99, Inconnu","Il s'agit d'une cicatrice au niveau du site de vaccination contre la variole (généralement sur la partie supérieure du bras, le cas échéant) qui est généralement ronde, peut avoir des bords irréguliers et sembler plus basse que la peau qui l'entoure.",Indiquez « Oui » si le patient présente une cicatrice visible due au vaccin contre la variole.,,
vacci_mpox_recent,Avez-vous reçu le vaccin contre la variole ou la variole après 1980 ?,"1, Oui | 0, Non | 99, Inconnu",Ceci fait référence à toute vaccination contre la variole ou la variole après 1980.,Indiquez « Oui » si le patient a reçu le vaccin contre la variole après 1980.,,
vacci_mpox_type,Si oui : type de vaccin contre la variole ou la MPOX,"1, Imvanex/Imvamune/Jyneos (MVA-BN) | 2, ACAM2000 | 3, LC16m8 | 88, autre | 99, Inconnu",Cela fait référence au type de vaccin Mpox ou contre la variole.,"Sélectionnez la ou les options correspondant au(x) vaccin(s) reçu(s). Si « Autre », précisez le(s) autre(s) vaccin(s) ci-dessous.",,
vacci_mpox_other,Si oui : Nom du vaccin contre la variole ou la MPOX,,Cela fait référence au type de vaccin Mpox ou contre la variole.,"Si « Autre », écrivez le(s) nom(s) de l’autre(s) vaccin(s) contre la variole/la movirose.",,
vacci_mpox_number,Si oui : Nombre de vaccins contre la variole ou la variole reçus,,Il s’agit du nombre de vaccins contre la Mpox ou la variole reçus.,Écrivez le nombre de vaccins contre la Mpox ou la variole reçus.,,
vacci_mpox_d1dat,Date du premier vaccin contre la variole ou la mpox,,Il s'agit du premier vaccin Mpox contre la variole.,Écrivez la date exacte du premier vaccin si elle est connue (utilisez le format JJ/MM/AAAA).,,
vacci_mpox_d2dat,Date du deuxième vaccin contre la variole ou la mpox,,Il s’agit du deuxième vaccin Mpox contre la variole.,Écrivez la date exacte du deuxième vaccin si elle est connue (utilisez le format JJ/MM/AAAA).,,
vacci_mpox_d3dat,Date du troisième vaccin contre la variole ou la mpox,,Il s’agit du troisième vaccin Mpox contre la variole.,Écrivez la date exacte du troisième vaccin si elle est connue (utilisez le format JJ/MM/AAAA).,,
vacci_mpox_d4dat,Date du quatrième vaccin contre la variole ou la mpox,,Il s’agit du quatrième vaccin Mpox contre la variole.,Écrivez la date exacte du quatrième vaccin si elle est connue (utilisez le format JJ/MM/AAAA).,,
adasses_lymph,Adénopathie,"1, Oui-douloureux | 2, Oui-pas douloureux | 0, Non | 99, Inconnu",Défini comme une constatation clinique d’hypertrophie anormale des ganglions lymphatiques.,Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adasses_lymphspec,Si oui : préciser le(s) site(s) de l'adénopathie,"1, Axillaire (aisselles) | 2, Cervical (cou) | 3, Inguinal (aine) | 88, Autre | 99, Inconnu",Il s’agit de l’emplacement où une lymphadénopathie a été identifiée.,Sélectionnez la ou les options les plus appropriées correspondant à la localisation de l’adénopathie.,,
adasses_lymphoth,Si autre : préciser le(s) site(s) de l'adénopathie,,Il s’agit de l’emplacement où une lymphadénopathie a été identifiée.,"Si « Autre », indiquez l’emplacement où l’adénopathie a été identifiée.",,
adasses_bacsi_yn,Surinfection bactérienne,"1, Oui | 0, Non | 99, Inconnu",Défini comme une infection bactérienne secondaire diagnostiquée par un médecin qui survient au cours d’une infection existante ou immédiatement après une infection antérieure.,Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adasses_bacsi_spec,Si oui : Préciser surinfection bactérienne.,"7, Abcès des tissus profonds | 1, Folliculite / cellulite | 2, Pneumonie | 3, Gastroentérite | 4, SNC | 5, Bactériémie | 6, Voies urinaires | 88, Autre",Cela fait référence au type ou à la localisation de la surinfection bactérienne.,Sélectionnez l’option(s) la(les) plus appropriée(s) représentant le type ou l’emplacement de la surinfection bactérienne.,,
adasses_bacsi_oth,Si autre : Préciser surinfection bactérienne,,"Il s’agit des autres types ou localisations de la surinfection bactérienne, non spécifiés ci-dessus.","Si « Autre », indiquez le type ou la localisation de la surinfection bactérienne.",,
adasses_phary,Pharyngite / amygdalite,"1, Oui | 0, Non | 99, Inconnu",Il s’agit de la présence d’une inflammation de la gorge et/ou des amygdales.,Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adasses_mastitis,Mastite,"1, Oui | 0, Non | 99, Inconnu","Défini comme une inflammation du sein, accompagnée ou non d'une infection",Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
advital_datavital,Saisir les données des signes vitaux pour l'admission ?,"1, Oui | 0, Non",,"Indiquez « Oui » si vous souhaitez enregistrer les données des signes vitaux pour ce jour d'évaluation. Si vous répondez « Oui », pour les questions suivantes, sauf indication contraire, enregistrez la valeur la plus éloignée de la plage physiologique normale enregistrée entre 00h00 et 24h00 le jour de l'évaluation. Les résultats qui ont été rejetés par l'équipe clinique ne doivent pas être inclus.",,
advital_tem,Température (sélectionnez les unités),,,,,
advital_tem_c,Température (°C),,Désigne la première température corporelle périphérique (rectale si < 3 mois) en degrés Celsius (°C) enregistrée lors de la présentation à l'établissement de santé.,Saisir la première température corporelle périphérique (°C) enregistrée lors de la présentation à l'établissement de santé.,,
advital_tem_f,Température (°F),,Désigne la première température corporelle périphérique (rectale si < 3 mois) en degrés Fahrenheit (°F) enregistrée lors de la présentation à l'établissement de santé.,Saisissez la première température corporelle périphérique (°F) enregistrée lors de la présentation à l'établissement de santé.,,
advital_hr,FC (battements/minute),,"Il s'agit de la première fréquence cardiaque mesurée en battements par minute, enregistrée lors de la présentation du patient à l'établissement de santé. Elle peut être mesurée manuellement ou par surveillance électronique.",Saisir la première fréquence cardiaque mesurée en battements par minute enregistrée lors de la présentation à l'établissement de santé.,,
advital_systolicbp,Pression artérielle systolique (mmHg),,"Il s'agit de la première pression artérielle systolique mesurée en millimètres de mercure (mmHg) enregistrée lors de la présentation du patient à l'établissement de santé. Par exemple, si la pression artérielle est de 120/85 mmHg, indiquez 120 dans la section intitulée « pression artérielle systolique ».","Notez la première pression artérielle systolique mesurée en millimètres de mercure (mmHg) enregistrée lors de la présentation du patient à l'établissement de santé. Par exemple, si la pression artérielle est de 120/85 mmHg, inscrivez 120 dans la section intitulée « pression artérielle systolique ».",,
advital_diastolicbp,Pression artérielle diastolique (mmHg),,"Il s'agit de la première pression artérielle diastolique mesurée en millimètres de mercure (mmHg) enregistrée lors de la présentation du patient à l'établissement de santé. Par exemple, si la pression artérielle est de 120/85 mmHg, indiquez 85 dans la section intitulée « PA diastolique ».","Notez la première pression artérielle diastolique mesurée en millimètres de mercure (mmHg) enregistrée lors de la présentation du patient à l'établissement de santé. Par exemple, si la pression artérielle est de 120/85 mmHg, inscrivez 85 dans la section intitulée « pression artérielle diastolique ».",,
advital_spo2,Saturation en oxygène SpO2 (%),,"Il s'agit de la première saturation en oxygène, qui peut être mesurée par oxymétrie de pouls ou par analyse des gaz du sang artériel, enregistrée lors de la présentation du patient à l'établissement de santé. Elle est indépendante de la ventilation ou des besoins en oxygène supplémentaire.",Saisissez le premier pourcentage de saturation en oxygène enregistré lors de la présentation à l'établissement de santé.,,
advital_o2supp_type,Oxygène supplémentaire au point de SpO2 mesuré,"2, Oui-bouche nasale | 3, Oui-masque simple | 4, Oui-HFNO | 5, Oui-NIV | 6, Oui-IMV / ECMO | 0, Non (air ambiant) | 99, Inconnu",Il s'agit de la fraction mesurée d'oxygène inspiré (FiO2) délivrée au moment de l'enregistrement de SpO2 (%) le plus bas ci-dessus.,Indiquez « Oui » si la FiO2 a été mesurée parallèlement à la saturation en oxygène la plus faible (SpO2) indiquée ci-dessus.,,
advital_capillaryr,Temps de remplissage capillaire > 2 secondes,"1, Oui | 0, Non | 99, Inconnu","Le temps de remplissage capillaire est mesuré en appuyant sur le sternum pendant cinq secondes avec un doigt ou le pouce jusqu'à ce que la peau sous-jacente devienne blanche, puis en notant le temps en secondes nécessaire pour que la couleur revienne une fois la pression relâchée.",Indiquez « Oui » si le temps de remplissage capillaire était supérieur à 2 secondes lors de la présentation à l’établissement de santé.,,
adsym_feverplus,Fièvre / frissons / frissons,"1, Oui | 0, Non | 99, Inconnu",Défini comme la sensation d'une température corporelle élevée (fièvre) et des contractions musculaires involontaires associées (frissons).,Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adsym_fever,Fièvre,"1, Oui | 0, Non | 99, Inconnu","Défini comme la sensation d'une température corporelle élevée sans mesure formelle, ou une température corporelle mesurée supérieure ou égale à 38 degrés Celsius (38 °C) ou 100,4 degrés Fahrenheit (100,4 °F).",Indiquez « Oui » si le patient a ressenti cela à un moment quelconque au cours de la date d’évaluation.,,
adsym_restlessne,Agitation,"1, Oui | 0, Non | 99, Inconnu","Défini comme l'incapacité à se reposer, à se détendre ou à rester immobile. État de malaise caractérisé par une activité motrice diffuse ou des mouvements soumis à un contrôle limité, un comportement non productif ou désorganisé et une détresse subjective.",Indiquez « Oui » si le patient a ressenti cela à un moment quelconque au cours de la date d’évaluation.,,
adsym_fatigue,Fatigue / malaise / léthargie,"1, Oui | 0, Non | 99, Inconnu","Défini comme la constellation de sensations non spécifiques : la sensation de fatigue caractérisée par un manque d'énergie ou de motivation ; un inconfort ou un malaise général ; un désintérêt, une apathie et une indifférence, entraînant des difficultés à effectuer des tâches simples ou à se concentrer.",Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adsym_weight,Perte de poids,"1, Oui | 0, Non | 99, Inconnu","Définie comme la perte de poids totale survenue depuis le début de la maladie et qui n'est pas intentionnelle ou n'est pas imputable à un régime alimentaire actif, à l'exercice physique ou à des interventions de perte de poids basées sur des médicaments spécifiques. Cela peut inclure une perte de poids déclarée par le patient avec ou sans mesures objectives du poids.",Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adsym_anosmia,Perte d'odorat / anosmie,"1, Oui | 0, Non | 99, Inconnu","Il s'agit de l'incapacité du patient à percevoir les odeurs, signalée par le patient et/ou diagnostiquée par le clinicien.",Indiquez « Oui » si le patient a ressenti cela à un moment quelconque au cours de la date d’évaluation.,,
adsym_ageusia,Perte du goût / agueusie,"1, Oui | 0, Non | 99, Inconnu",Il s’agit d’une perte de la fonction gustative de la langue signalée par le patient et/ou diagnostiquée par le clinicien.,Indiquez « Oui » si le patient a ressenti cela à un moment quelconque au cours de la date d’évaluation.,,
adsym_dizzy,Sensation de vertige / d'évanouissement,"1, Oui | 0, Non | 99, Inconnu","Il s’agit d’une sensation subjective d’étourdissement ou de vertige qui peut précéder un épisode de syncope ou une sensation d’instabilité, de rotation ou de bascule.",Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adsym_myalgia,Douleurs musculaires / myalgies,"1, Oui | 0, Non | 99, Inconnu",Défini comme une douleur localisée à un muscle ou à un groupe de muscles.,Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adsym_arthralgia,Douleurs articulaires / arthralgies,"1, Oui | 0, Non | 99, Inconnu","Défini comme une sensation d’inconfort ou de douleur marquée localisée dans une ou plusieurs articulations, y compris les petites et les grandes articulations.",Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adsym_skinrash,Éruption cutanée,"1, Oui | 0, Non | 99, Inconnu","Définie comme tout changement de la peau qui affecte son apparence ou sa texture. Une éruption cutanée peut être localisée sur une partie du corps ou affecter toute la peau. Les éruptions cutanées peuvent provoquer un changement de couleur de la peau, des démangeaisons, une sensation de chaleur, des bosses, une sécheresse, des fissures ou des cloques, un gonflement et peuvent être douloureuses.",Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adsym_skinrash_loc,Site où l'éruption cutanée est apparue pour la première fois,"1, Peau, génitale | 2, Peau, non génitale | 3, Muqueuse, génitale | 4, Muqueuse, non génitale | 5, Bouche | 6, Peau périanale | 7, Rectum | 99, Inconnu| 88, Autre",Il s’agit de l’endroit où l’éruption cutanée est apparue pour la première fois.,Sélectionnez l’option(s) la(les) plus appropriée(s) correspondant à l’emplacement où l’éruption cutanée est apparue pour la première fois.,,
adsym_skinrash_locoth,"Si autre : préciser la première éruption cutanée, autre localisation",,Il s’agit de l’endroit où l’éruption cutanée est apparue pour la première fois.,"Si « autre », précisez le premier emplacement où une éruption cutanée pertinente s'est développée.",,
adsym_skinrash_date,Date à laquelle la première éruption cutanée a été observée par le patient,,Il s’agit de la date à laquelle le patient déclare avoir identifié l’éruption cutanée pour la première fois.,Écrivez la date à laquelle le patient signale avoir identifié l’éruption cutanée pour la première fois (utilisez le format JJ/MM/AAAA).,,
adsym_pruritus,Démangeaisons / prurit,"1, Oui | 0, Non | 99, Inconnu",Définie comme une sensation de démangeaison désagréable ou intense qui produit l'envie de frotter ou de gratter la peau pour obtenir un soulagement. La démangeaison est une sensation irritante qui donne envie de se gratter la peau.,Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adsym_mobilchg,Changement de mobilité par rapport à la ligne de base,"1, Oui | 0, Non | 99, Inconnu",Cela fait référence à la capacité du patient à marcher ou à se mobiliser.,Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adsym_mobile,Statut de mobilité,"1, Complètement ambulant | 2, Ambulant, mais avec une certaine assistance | 3, Alité",Cela fait référence à la capacité du patient à marcher ou à se mobiliser.,Indiquer l’état de mobilité du patient au moment de la présentation.,,
adsym_cough,Toux,"1, Oui | 0, Non | 99, Inconnu","Il s'agit de la présence d'une toux et de ses caractéristiques. Une toux productive désigne une toux accompagnée de sécrétions expectorées (mucosités ou mucus), tandis qu'une toux non productive désigne une toux qui n'est pas accompagnée de sécrétions expectorées. L'hémoptysie désigne la présence de sang ou d'expectorations striées de sang provenant des voies respiratoires.",Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adsym_cough_nonprod,Non productif,"1, Oui | 0, Non | 99, Inconnu",Une toux non productive désigne une toux qui n’est pas accompagnée de sécrétions expectorées.,Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adsym_cough_prod,Productif,"1, Oui | 0, Non | 99, Inconnu",Une toux productive fait référence à une toux accompagnée de sécrétions expectorées (mucosités ou mucus),Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adsym_cough_hemop,Hémoptysie,"1, Oui | 0, Non | 99, Inconnu",L'hémoptysie fait référence à la présence de sang ou d'expectorations striées de sang provenant des voies respiratoires.,Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adsym_palpitations,Palpitations,"1, Oui | 0, Non | 99, Inconnu",Désigne la sensation désagréable de son propre rythme cardiaque.,Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adsym_sorethroat,Mal de gorge,"1, Oui | 0, Non | 99, Inconnu","Défini comme une sensation désagréable caractérisée par un inconfort physique (comme des picotements, des pulsations ou des douleurs) et perçue comme provenant de la gorge.",Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adsym_rhinorrhoe,Écoulement nasal / rhinorrhée,"1, Oui | 0, Non | 99, Inconnu",Défini comme une augmentation des écoulements muqueux du nez.,Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adsym_wheezing,Respiration sifflante,"1, Oui | 0, Non | 99, Inconnu",Défini comme un bruit respiratoire aigu résultant d'un rétrécissement ou d'une obstruction des petites voies respiratoires.,Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adsym_shortbreat,Essoufflement,"1, Oui | 0, Non | 99, Inconnu",Défini comme la sensation inconfortable d'une respiration difficile ou laborieuse qui est disproportionnée par rapport au niveau d'activité physique du patient.,Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
adsym_chestindrw,Tirage sous-costal inférieur,"1, Oui | 0, Non | 99, Inconnu","Défini comme un signe clinique de détresse respiratoire, caractérisé par un mouvement anormal vers l'intérieur de la paroi thoracique inférieure pendant l'inspiration. Si seuls les tissus mous entre les côtes ou au-dessus de la clavicule entrent en contact avec l'air lorsque le patient respire, il ne s'agit pas d'un tirage vers l'intérieur de la paroi thoracique inférieure.",Indiquez « Oui » si le patient a ressenti cela à un moment quelconque depuis le début de cette maladie jusqu’à sa présentation.,,
