Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,preset_Disease_Core,preset_Disease_Covid,preset_Disease_Dengue,preset_Disease_Degnuenew,preset_Disease_Degnuegreen,preset_Disease_Degnueyellow,preset_Disease_Mpox,preset_Disease_Nipah,preset_Disease_Nigeria_Mpox,preset_Syndrome_Generic,preset_Syndrome_Influenza-like,preset_Syndrome_Neurologic,preset_Syndrome_Gastro,preset_Score_CharlsonCI,preset_Score_4C,preset_Score_SOFA,preset_Score_qSOFA,preset_Score_CURB65,preset_Score_SMARTCOP,preset_Score_APACHEII,preset_Score_NEWS,preset_Score_MPOXSSS,preset_Score_SF94,preset_Score_HospitalRecoveryScale,preset_Score_DengueWS,preset_WHOSchema_Day0,GHDay0,COMMENTS
presentation,VACCINATION,vacci_mpox_dateapr,text,Age when vaccinated,,number,,,,[vacci_mpox_1980]='1',,,Write the numerical value corresponding to the age of the patient when they received the smallpox vaccine. If age at vaccination is not known please leave this response empty.,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
presentation,VACCINATION,vacci_mpox_ageu,radio,Age units,"1, Years | 2, Months | 3, Days",,,,,[vacci_mpox_1980]='1',,,Select the single most appropriate option corresponding to the stated age at smallpox vaccination.,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
presentation,VACCINATION,vacci_mpox_estiyn,radio,Is the stated year or age an estimate?,"1, Yes | 0, No",,,,,[vacci_mpox_1980]='1',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
presentation,VACCINATION,vacci_mpox_agealt,radio,"If age or year not known, status when vaccinated","1, Child | 2, Adult | 99, Unknown",,,,,[vacci_mpox_1980]='1',,,If patient age or year of smallpox vaccination is unknown Select the single most appropriate option corresponding to when this patient received the smallpox vaccine (prior to 1980).,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
presentation,VACCINATION,vacci_mpox_scar,radio,Is a smallpox vaccination scar visible (usually on the upper arm if present)?,"1, Yes | 0, No | 99, Unknown",,,,,[vacci_mpox_1980]='1',,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
presentation,VACCINATION,vacci_mpox_recent,radio,Received vaccination more recently to protect against mpox (or smallpox)?,"1, Yes | 0, No | 99, Unknown",,,,,,,This refers to any smallpox or mpox vaccination since 1980.,"Indicate 'Yes', if the patient received the smallpox vaccination after 1980",,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,
presentation,VACCINATION,vacci_mpox_type,checkbox,Mpox vaccine type,"1, Imvanex/Imvamune/Jyneos (MVA-BN) | 2, ACAM2000 | 3, LC16m8 | 88, Other",,,,,[vacci_mpox_recent]='1',,,"Select the option(s) corresponding to the vaccine(s) received. If 'Other', Specify the other vaccine(s) below.",,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,
presentation,VACCINATION,vacci_mpox_other,text,"If other, state name of vaccine",,,,,,[vacci_mpox_type(88)]='1',,,"If 'Other', Write the name(s) of the other smallpox/mpox vaccine(s).",,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,
presentation,VACCINATION,vacci_mpox_d1,radio,Is first vaccine date known?,"1, Yes | 0, No | 99, Unknown",,,,,[vacci_mpox_1980]='1' or [vacci_mpox_recent]='1',,,"Indicate 'Yes', if the exact date is known.",,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
presentation,VACCINATION,vacci_mpox_d1dat,date_dmy,Date of first mpox vaccine,,date_dmy,,today,,[vacci_mpox_d1]='1',,,Write the exact date of first vaccine if known (use the format DD:MM:YYYY).,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,
presentation,VACCINATION,vacci_mpox_d1apr,text,"Approximate date of first vaccine (MM:YYYY or YYYY, if known)",,,,,,[vacci_mpox_d1]='0',,,If only an approximate date of first vaccine is known Indicate the approximate date here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
presentation,VACCINATION,vacci_mpox_d2,radio,Is second vaccine date known?,"1, Yes | 0, No | 99, Unknown",,,,,[vacci_mpox_1980]='1' and [vacci_mpox_recent]='1',,,"Indicate 'Yes', if the exact date is known.",,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
presentation,VACCINATION,vacci_mpox_d2dat,date_dmy,Date of second mpox vaccine,,date_dmy,,today,,[vacci_mpox_d2]='1',,,Write the exact date of second vaccine if known (use the format DD:MM:YYYY).,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
presentation,VACCINATION,vacci_mpox_d2apr,text,"Approximate date of second vaccine (MM:YYYY or YYYY, if known)",,,,,,[vacci_mpox_d2]='0',,,If only an approximate date of second vaccine is known Indicate the approximate date here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
presentation,VACCINATION,vacci_epi,radio,"Completed all vaccinations under the Expanded Programme on Immunization (EPI) (BCG, Diphtheria, Pertussis, Tetanus, Hepatitis B, Hib, PCV, OPV, MMR)","1, Yes-reported | 2, Yes - confirmed with vaccination card | 3, No | 99, Unknown",,,,,,,This refers to the World Health Organisation Expanded Program on Immunisation.,Select the single most appropriate option corresponding to the vaccination status in relation to the EPI. Indicate 'Yes - reported' if the patient states they have received all vaccines under the EPI but do not have their vaccination card. Indicate 'Yes - confirmed with vaccination card' if the vaccination card has been reviewed and all vaccinations under the EPI have been completed. Indicate 'No' if some but not all have been completed. Indicate 'Unknown' if the vaccination status in relation to the EPI is unkown.,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
presentation,VACCINATION,vacci_varic,radio,Varicella vaccination ,"1, Yes-reported | 2, Yes - confirmed with vaccination card | 3, No | 99, Unknown",,,,,,,Refers to varicella zoster vaccination.,"Select the single most appropriate option corresponding to the vaccination status in relation to varicella vaccination. Indicate 'Yes - reported' if the patient states they have received the vaccine but do not have their vaccination card with documented evidence. Indicate 'Yes - confirmed with vaccination card' if the vaccination card has been reviewed and there is corroborating evidence. Indicate 'No' if they have not had the vaccine, or 'Unknown' if the vaccine status is unkown.",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
presentation,VACCINATION,vacci_jev,radio,JE vaccination,"1, Yes-reported | 2, Yes - confirmed with vaccination card | 3, No | 99, Unknown",,,,,,,Refers to Japanese encephalitis vaccination.,"Select the single most appropriate option corresponding to the vaccination status in relation to Japanese encephalitis vaccination. Indicate 'Yes - reported' if the patient states they have received the vaccine but do not have their vaccination card with documented evidence. Indicate 'Yes - confirmed with vaccination card' if the vaccination card has been reviewed and there is corroborating evidence. Indicate 'No' if they have not had the vaccine, or 'Unknown' if the vaccine status is unkown.",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_feverplus,radio,Fever / chills / rigors,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,Defined as the sensation of elevated body temperature and associated involuntary muscle twitching/contractions (chills/rigors).,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"386661006, Fever | 248456009, Shivering or rigors (finding)","C0015967, Fever | C0036973, Shivering",1,,1,1,1,,1,1,,,1,1,1,,,,,,,,,,,,1,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_fever,radio,Fever,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"Defined as the sensation of elevated body temperature without formal measurement, or a measured body temperature greater or equal to 38-degrees Celsius (38°C) or 100.4-Fahrenheit (100.4°F). ","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"386661006, Fever","C0015967, Fever",,1,,,1,,,,,1,1,,1,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_restlessne,radio,Restlessness,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"Defined as a state of unease characterized by diffuse motor activity or motion subject to limited control, nonproductive or disorganized behavior, and subjective distress.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"162221009, Restlessness ","C3887611, Restlessness",,,1,1,1,1,,1,,,,1,,,,,,,,,,,,,1,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_fatigue,radio,Fatigue / Malaise / Lethargy,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"Defined as the constellation of non-specific sensations: the feeling of tiredness characterised by a lack of energy or motivation; general discomfort or uneasiness; disinterestedness, listlessness, and indifference, resulting in difficulty performing simple tasks or concentrating.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"84229001, Fatigue |367391008, Malaise  |214264003, Lethargy","C0015672, Fatigue | C0231218, Malaise  | C0023380 Lethargy",1,1,1,1,1,,1,1,,1,1,1,1,,,,,,,,,,,,1,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_weight,radio,Weight loss,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"Defined as the reduction in total body weight that has occurred since the onset of this illness and has been unintentional or not attributable to active dieting, exercise or dedicated medication based weight-loss interventions.. This can include patient-reported weight loss with or without objective measurements of weight.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,448765001 Unintentional weight loss,C2363736 Unintentional Weight loss,,,,,,,1,1,,1,,1,1,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_anosmia,radio,Loss of smell / anosmia,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,This refers to patient reported and/or clinician-diagnosed inability of the patient to perceive odours,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"44169009, Loss of sense of smell","C0003126, Anosmia",1,1,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_ageusia,radio,Loss of taste / ageusia,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,This refers to patient reported and/or clinician-diagnosed loss of taste function of the tongue.,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"36955009, Loss of taste","C2364111, Ageusia",1,1,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_ear,radio,Ear pain,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,,,SNOMED,301354004 ,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_lymph,radio,Lymphadenopathy,"1, Yes, painful | 2, Yes, not painful | 0, No | 99, Unknown",,,,,,Systemic/General,Defined as a clinical finding of abnormal enlargement of the lymp nodes. ,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"30746006, Lymphadenopathy","C4014613, Lymphadenopathy",1,1,,,,,1,,,1,1,1,1,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_lymphspec,checkbox,Specify sites,"1, Axillary (arm pits) | 2, Cervical (neck)| 3, Inguinal (groin) | 88, Other | 99, Unknown",,,,,[adsym_lymph]='1',Systemic/General,This refers to the location in which lymphadenopathy was identified.,Select the most appropriate option(s) corresponding to the location of lymphadenopathy. ,SNOMED,"127189005, Axillary lymphadenopathy  | 127086001, Cervical lymphadenopathy  | 127199000, Inguinal Lymphadenopathy",,,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_lymphoth,text,Specify other site,,,,,,[adsym_lymphspec(88)]='1',Systemic/General,This refers to the location in which lymphadenopathy was identified.,,,,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_bacsi_yn,radio,Bacterial super-infection,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,Defined as a physician-diagnosed secondary bacterial infection that occurs during an existing infection or immediately following an earlier infection.,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission.  If 'Yes', please continue to specify the location of the super-infection in the following question.",SNOMED,"264569006, Secondary infection","C0442886, Secondary infections",,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_bacsi,checkbox,Specify bacterial super-infection,"1, Folliculitis/cellulitis | 2, Pneumonia | 3, Gastroenteritis | 4, CNS | 5, Bacteraemia | 6, Urinary tract | 88, Other",,,,,[adsym_bacsi_yn]='1',Systemic/General,This refers to the type or location of the bacterial super-infection. ,Select the most appropriate option(s) corresponding to the type or location of secondary bacterial infection(s).,SNOMED,"19824006, Infection of skin and/or subcutaneous tissue | 308906005, Secondary bacterial pneumonia | 274080003, Bacterial gastroenteritis| 128119004, Bacterial infection of the central nervous system | 312124009, Bacterial urinary tract infection","C0037278, Skin Infection | C0339952, Secondary bacterial pneumonia | C0558348, Bacterial gastroenteritis | C0752180, Bacterial infection of  central nervous system  |  C1096222, Urinary tract infection bacterial",,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_bacsi_oth,text,Specify other bacterial super-infection,,,,,,[adsym_bacsi(88)]='1',Systemic/General,This refers to the type or location of the bacterial super-infection. ,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_oedema,radio,Clinical fluid accumulation,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"Refers to peripheral oedema, pleural effusion, ascites, or pericardial effusion and is detected by clinical methods, radiology, or ultrasound, without necessarily being associated with respiratory distress or hemodynamic compromise.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_dizzy,radio,Feeling dizzy / faint,"1, Yes | 0, No | 99, Unknown",,,,,,Systemic/General,"This refers to the subjective feeling of lightheadedness or dizziness which may precede an episode of syncope or a sensation of unsteadiness, spinning or rocking.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"248223005, Feeling faint","C0581879, Felt faint",,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_cough,radio,Cough,"1, Yes, non-productive | 2, Yes, productive | 3, Yes, with haemoptysis | 0, No | 99, Unknown",,,,,,Pulmonary,"This refers to the presence of a cough and its characteristics. A cough is defined as a sudden, often repetitive, spasmodic contraction of the thoracic cavity, resulting in violent release of air from the lungs, and usually accompanied by a distinctive sound at the specified time. A productive cough refers to a cough accompanied by expectorated secretions (phelgm or mucus), while a non-productive cough refers to one which is not accompanied by expectorated secretions. Haemoptysis refers to the presence of blood or blood-streaked sputum from the respiratory tract.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission.  Select the single most appropriate option that best describes the patients cough.",SNOMED,"11833005, Dry Cough | 28743005 Productive Cough | 66857006 Hemoptysis |", C0850149 Non-Productive Cough | C0451597 Productive Cough | C0019079 Hemoptysis,1,1,1,1,1,,,1,,1,1,,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_sorethroat,radio,Sore throat,"1, Yes | 0, No | 99, Unknown",,,,,,Pulmonary,"Defined as an unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) and perceived to originate in the throat.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"267102003, Sore throat","C3854544, Sore throat",1,1,,,,,1,1,,1,1,,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_catarrh,radio,Catarrh,"1, Yes | 0, No | 99, Unknown",,,,,,Pulmonary,Defined as inflammation of mucous membrane with increased flow and discharge of mucose.,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"782515007, Catarrh (morphological abnormality)","C1384493, Catarrh",,,,,,,1,,,,,,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_rhinorrhoe,radio,Runny nose (rhinorrhoea),"1, Yes | 0, No | 99, Unknown",,,,,,Pulmonary,Defined as increased mucosal discharge of the nose.,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"64531003, Nasal Discharge","C1260880, Rhinorrhea",1,1,,,,,,1,,1,1,,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_wheezing,radio,Wheezing,"1, Yes | 0, No | 99, Unknown",,,,,,Pulmonary,Defined as a high-pitched breath sound resulting from a narrowing or obstruction of the small airway.,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"56018004, Wheezing","C0043144, Wheezing",1,1,,,,,,1,,1,1,,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_apnoea,radio,Apnoea,"1, Yes | 0, No | 99, Unknown",,,,,,Pulmonary,,,SNOMED,1023001,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_shortbreat,radio,Shortness of breath ,"1, Yes | 0, No | 99, Unknown",,,,,,Pulmonary,Defined as the uncomfortable sensation of difficult or laboured breathing that is out of proportion to the patient's level of physical activity.,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"267036007, Dyspn","C4230442, Dyspnea",1,1,1,1,1,,,1,,1,1,,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_chestindrw,radio,Lower chest wall indrawing,"1, Yes | 0, No | 99, Unknown",,,,,,Pulmonary,"Defined as a clinical sign of respiratory distress, distinguished by the abnormal inward movement of the lower chest wall during inspiration. If only the soft tissue between the ribs or above the clavicle goes in when the patient breathes, this is not lower chest wall in-drawing.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"67909005, Chest wall retraction","C0231906, Chest wall retraction",1,1,,,,,,1,,1,1,,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_lrt,radio,Lower Respiratory Tract symptoms,"1, Yes | 0, No | 99, Unknown",,,,,,Pulmonary,"This refers to the presence of symptoms from a constellation consistent with a disordered process in the lower respiratory tract. This can include: dyspnea (shortness of breath), chest pain, cough, wheezing, fever, fatigue/lethargy, among others.","Indicate 'Yes', if the patient experienced this at anytime during the date of assessment.",SNOMED,"301226008, Lower respiratory tract finding","C08521254, Lower respiratroy tract signs and symptoms",,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_phary,radio,Pharyngitis / tonsillitis,"1, Yes | 0, No | 99, Unknown",,,,,,Pulmonary,This refers to the presence of inflammation of the throat and/or tonsils.,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"405737000, Pharyngitis | 281795003, Inflamed tonsils",,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_chestpain,radio,Chest pain,"1, Yes | 0, No | 99, Unknown",,,,,,Pulmonary,"Defined as the unpleasant, uncomfortable or painful sensation characterised by physical discomfort localised to the chest.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"29857009, Chest pain","C3807341, Chest pain",1,1,,,,,,,,1,1,,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_anorec,radio,Ano-rectitis,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,Defined as inflammation of the mucosal membranes of the anus and/or rectum which can be acccompanied by pain or bleeding.,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"3951002, Proctitis","C0033246, Proctitis",,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_abdpain,radio,Abdominal pain,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,"Defined as an unpleasant sensation of discomfort, distress or agony in the abdominal region.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"21522001, Abdominal pain","C3553274, Abdominal pain",1,1,1,1,1,1,1,1,,1,1,,1,,,,,,,,,,,,1,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_diarrhoea,radio,Diarrhoea,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,Defined as three or more loose or liquid bowel movement per day (or more frequent passage than is normal for the individual).,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"62315008, Diarrhea","C3554472, Diarrhea",1,1,1,1,1,1,1,1,,1,1,,1,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_consti,radio,Constipation,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,This refers to irregular and infrequent or difficult evacuation of the bowels.,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"14760008, Constipation","C3551741, Constipation",,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_vomnau,radio,Vomiting / Nausea,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,Defined as either:  the unpleasant painless subjective feeling that one will imminently vomit (nausea); and/or expulsion of the contents of the stomach or small intestines through the mouth (vomiting or emesis).,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"16932000, Nausea and vomiting","C0027498, Nausea and Vomiting",,1,,,1,,1,1,,1,,,1,,,,,,,,,,,,1,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_vomit,radio,Vomiting,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,Defined as the expulsion of the stomach or small intestines through the mouth.,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"422400008, Vomiting","C4230730, Vomiting",1,,1,1,1,1,,,,,1,1,1,,,,,,,,,,,,1,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_vomit2d,radio,"If yes, persistent vomiting? (>=2/day)","1, Yes | 0, No | 99, Unknown",,,,,[adsym_vomit]='1',Gastrointestinal,Persistent vomiting is defined here as vomiting two times or more per day.,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"196746003, Persistent vomiting","C0152165, Persistent vomiting",,,1,1,,1,,,,,,1,1,,,,,,,,,,,,1,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_nausea,radio,Nausea,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,Defined as the the unpleasant painless subjective feeling that one will imminently vomit.,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"422587007, Nausea","C3554470, Nausea",,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_anorexia,radio,Anorexia,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,Defined as lack or loss of appetite.,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"79890006, Loss of appetite","C3554473, Anorexia",1,1,1,1,1,,,1,,,1,1,1,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_parotitis,radio,Parotitis,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,"Refers to inflammation of the parotid glands, typically identified clinically by tenderness and swelling of the parotid glands.","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,14756005 | Parotitis (disorder) |,"C00030583, Parotitis",,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_exsal,radio,Exessive salivation,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,Excessive salivation or sialorrhea is a symptom best assessed by the patient.,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,53827007 | Excessive salivation (disorder) |,"C0037036, Sialorrhea",,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_ascites,radio,Ascites,"1, Yes | 0, No | 99, Unknown",,,,,,Gastrointestinal,,,SNOMED,389026000,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_orchitis,radio,Orchitis,"1, Yes | 0, No | 99, Unknown",,,,,,Genitourinary,"Refers to pain, tenderness, enlargement of one or both testes. ","Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,274718005 | Orchitis (disorder) |,"C0029191, Orchitis",,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
presentation,"SIGNS AND SYMPTOMS ON ADMISSION: first data, from onset of this acute illness to day of presentation or admission",adsym_urine,radio,Urinary retention,"1, Yes | 0, No | 99, Unknown",,,,,,Genitourinary,Defined as the accumulation of urine wihtin the bladder because of the inability to urinate.,"Indicate 'Yes', if the patient has experienced this at anytime from onset of this illness and presentation or admission. ",SNOMED,"267064002, Retention of urine","C0080274, Urinary retention",,,,,,,1,,,,,1,1,,,,,,,,,,,,,1,,
